"max_depth","eta","nrounds","subsample","colsample_bytree","lambda","alpha","R2_test1","R2_test2","R2_avg","selected"
5,0.01,200,1,0.8,2,0.5,0.27331348945273,0.170864032098074,0.222088760775402,10
7,0.1,200,0.8,0.8,1,1,0.541575873532247,0.548385850067669,0.544980861799958,10
3,0.05,500,0.6,1,1,0,0.569152231874994,0.630783847224683,0.599968039549838,10
5,0.3,500,0.6,0.8,2,0,0.566705271783561,0.570124053542724,0.568414662663142,10
9,0.05,500,0.8,1,2,0,0.512255165975631,0.540559982656425,0.526407574316028,10
3,0.01,500,0.6,0.8,0,0.5,0.640706251552287,0.647755380231447,0.644230815891867,10
9,0.01,500,0.6,1,0,0.5,0.639106118293183,0.63722985511435,0.638167986703766,10
9,0.1,500,0.6,0.6,1,0.5,0.479581496897216,0.436934662137579,0.458258079517397,10
7,0.05,500,1,0.6,1,0.5,0.54963683872581,0.622024436068329,0.585830637397069,10
3,0.01,500,0.8,0.8,2,0.5,0.593123298255902,0.650947916449757,0.622035607352829,10
3,0.3,500,0.8,1,0.5,1,0.58491165599757,0.651594460633468,0.618253058315519,10
9,0.05,500,1,1,0.5,1,0.562651390268812,0.583341816375421,0.572996603322116,10
3,0.05,500,0.6,0.6,2,1,0.552720426861031,0.597870086729031,0.575295256795031,10
7,0.1,500,0.6,0.8,2,1,0.587776395440276,0.589809114065572,0.588792754752924,10
3,0.01,100,0.6,0.6,0,0,-1.40444268292705,-2.30622175344661,-1.85533221818683,0
3,0.05,100,0.6,0.6,0,0,0.618792047837115,0.627513094520257,0.623152571178686,0
3,0.1,100,0.6,0.6,0,0,0.5693103357403,0.591540957968454,0.580425646854377,0
3,0.3,100,0.6,0.6,0,0,0.67317154403448,0.544468590263079,0.608820067148779,0
5,0.01,100,0.6,0.6,0,0,-1.39850802995143,-2.29885984455938,-1.84868393725541,0
5,0.05,100,0.6,0.6,0,0,0.57652690790572,0.612407218310236,0.594467063107978,0
5,0.1,100,0.6,0.6,0,0,0.620468884679319,0.534509376890694,0.577489130785006,0
5,0.3,100,0.6,0.6,0,0,0.544217365907255,0.409318577020792,0.476767971464024,0
7,0.05,100,0.6,0.6,0,0,0.588663750089831,0.625985349468327,0.607324549779079,0
7,0.1,100,0.6,0.6,0,0,0.588413399439915,0.543164659946612,0.565789029693263,0
7,0.3,100,0.6,0.6,0,0,0.591265418555337,0.525806620140931,0.558536019348134,0
9,0.05,100,0.6,0.6,0,0,0.64778587548563,0.613393900814419,0.630589888150024,0
9,0.1,100,0.6,0.6,0,0,0.604592619658275,0.620273925708625,0.61243327268345,0
9,0.3,100,0.6,0.6,0,0,0.51178929292004,0.594869484162125,0.553329388541083,0
3,0.01,100,0.8,0.6,0,0,-1.39415608721238,-2.30308635937863,-1.8486212232955,0
3,0.05,100,0.8,0.6,0,0,0.61724833261126,0.656053198200426,0.636650765405843,0
3,0.1,100,0.8,0.6,0,0,0.627642677236782,0.620341779900027,0.623992228568404,0
3,0.3,100,0.8,0.6,0,0,0.572476168307798,0.480481930329206,0.526479049318502,0
5,0.01,100,0.8,0.6,0,0,-1.41555872564297,-2.31781315068976,-1.86668593816636,0
5,0.05,100,0.8,0.6,0,0,0.622981300282796,0.572400060682269,0.597690680482533,0
5,0.1,100,0.8,0.6,0,0,0.618195005602348,0.560235297397187,0.589215151499768,0
5,0.3,100,0.8,0.6,0,0,0.586719894411131,0.482746937702445,0.534733416056788,0
7,0.01,100,0.8,0.6,0,0,-1.38745422055545,-2.32958260407642,-1.85851841231593,0
7,0.05,100,0.8,0.6,0,0,0.618150850345245,0.584217349683715,0.60118410001448,0
7,0.1,100,0.8,0.6,0,0,0.667206259013221,0.56831103015126,0.617758644582241,0
7,0.3,100,0.8,0.6,0,0,0.532994401911808,0.490375451234103,0.511684926572956,0
9,0.05,100,0.8,0.6,0,0,0.628332491593712,0.654498286885848,0.64141538923978,0
9,0.1,100,0.8,0.6,0,0,0.674603533058788,0.675662991411842,0.675133262235315,0
9,0.3,100,0.8,0.6,0,0,0.360758167720735,0.431553952018676,0.396156059869705,0
3,0.01,100,1,0.6,0,0,-1.41843017958404,-2.35970306488178,-1.88906662223291,0
3,0.05,100,1,0.6,0,0,0.652324249016692,0.639949323172283,0.646136786094487,0
3,0.1,100,1,0.6,0,0,0.646771492021463,0.607881978205438,0.62732673511345,0
3,0.3,100,1,0.6,0,0,0.594171644845902,0.516329518594129,0.555250581720015,0
5,0.01,100,1,0.6,0,0,-1.38622938344062,-2.38476663151801,-1.88549800747932,0
5,0.05,100,1,0.6,0,0,0.638140956586104,0.615965784161079,0.627053370373592,0
5,0.1,100,1,0.6,0,0,0.627503106514504,0.491448853118223,0.559475979816363,0
5,0.3,100,1,0.6,0,0,0.634336719023465,0.587367983555474,0.61085235128947,0
7,0.01,100,1,0.6,0,0,-1.36041389132188,-2.36313532785867,-1.86177460959028,0
7,0.05,100,1,0.6,0,0,0.668750692654245,0.569894194837327,0.619322443745786,0
7,0.1,100,1,0.6,0,0,0.625405169986784,0.534743867484903,0.580074518735844,0
7,0.3,100,1,0.6,0,0,0.65475558418051,0.60667437275937,0.63071497846994,0
9,0.01,100,1,0.6,0,0,-1.39074937255957,-2.35575839541869,-1.87325388398913,0
9,0.05,100,1,0.6,0,0,0.648231663355813,0.58708776000646,0.617659711681136,0
9,0.1,100,1,0.6,0,0,0.698017182771244,0.540577100461804,0.619297141616524,0
9,0.3,100,1,0.6,0,0,0.50715117911124,0.174629685711263,0.340890432411251,0
3,0.01,100,0.6,0.8,0,0,-1.37964481160133,-2.30197339193957,-1.84080910177045,0
3,0.05,100,0.6,0.8,0,0,0.606986567991296,0.610983927616681,0.608985247803989,0
3,0.1,100,0.6,0.8,0,0,0.633360384837814,0.636542037985958,0.634951211411886,0
3,0.3,100,0.6,0.8,0,0,0.59331960945399,0.535161609888751,0.56424060967137,0
5,0.05,100,0.6,0.8,0,0,0.616702755852117,0.60158178090888,0.609142268380498,0
5,0.1,100,0.6,0.8,0,0,0.621017423727368,0.70352358671555,0.662270505221459,0
5,0.3,100,0.6,0.8,0,0,0.664202878999435,0.569452646583663,0.616827762791549,0
7,0.01,100,0.6,0.8,0,0,-1.41118254149547,-2.34335110283865,-1.87726682216706,0
7,0.05,100,0.6,0.8,0,0,0.584695931391995,0.618154879052476,0.601425405222235,0
7,0.1,100,0.6,0.8,0,0,0.583243774178518,0.597652708437012,0.590448241307765,0
7,0.3,100,0.6,0.8,0,0,0.596974539391754,0.654468701397378,0.625721620394566,0
9,0.05,100,0.6,0.8,0,0,0.65990393687767,0.648187298893398,0.654045617885534,0
9,0.1,100,0.6,0.8,0,0,0.573739286019584,0.642661369905616,0.6082003279626,0
9,0.3,100,0.6,0.8,0,0,0.558122667041122,0.473758283028089,0.515940475034606,0
3,0.05,100,0.8,0.8,0,0,0.640668483687162,0.636197158756151,0.638432821221656,0
3,0.1,100,0.8,0.8,0,0,0.629835320105891,0.623870096595109,0.6268527083505,0
3,0.3,100,0.8,0.8,0,0,0.607805113568517,0.49812367010821,0.552964391838364,0
5,0.05,100,0.8,0.8,0,0,0.642909099456769,0.649080857960425,0.645994978708597,0
5,0.1,100,0.8,0.8,0,0,0.676075784647944,0.62546302678608,0.650769405717012,0
5,0.3,100,0.8,0.8,0,0,0.625640284971644,0.652944672245999,0.639292478608822,0
7,0.01,100,0.8,0.8,0,0,-1.36896900223629,-2.32604263038556,-1.84750581631092,0
7,0.05,100,0.8,0.8,0,0,0.658380873347689,0.608475922895659,0.633428398121674,0
7,0.1,100,0.8,0.8,0,0,0.669895105581586,0.630764763367185,0.650329934474385,0
7,0.3,100,0.8,0.8,0,0,0.450171868448609,0.465503867386038,0.457837867917323,0
9,0.01,100,0.8,0.8,0,0,-1.38410773527468,-2.31204432865714,-1.84807603196591,0
9,0.05,100,0.8,0.8,0,0,0.656553160295763,0.650733875146349,0.653643517721056,0
9,0.1,100,0.8,0.8,0,0,0.633944648415347,0.645291187132814,0.639617917774081,0
9,0.3,100,0.8,0.8,0,0,0.536060551962606,0.464416452411141,0.500238502186873,0
3,0.01,100,1,0.8,0,0,-1.34711283003137,-2.38183395322113,-1.86447339162625,0
3,0.05,100,1,0.8,0,0,0.669603388918152,0.671948163981145,0.670775776449648,0
3,0.1,100,1,0.8,0,0,0.636957712597379,0.640619639790732,0.638788676194056,0
3,0.3,100,1,0.8,0,0,0.669548979937123,0.594241162475727,0.631895071206425,0
5,0.01,100,1,0.8,0,0,-1.34561691034273,-2.34040685445931,-1.84301188240102,0
5,0.05,100,1,0.8,0,0,0.685254950091611,0.549598886731221,0.617426918411416,0
5,0.1,100,1,0.8,0,0,0.663276293754,0.561662933075447,0.612469613414723,0
5,0.3,100,1,0.8,0,0,0.641291994113223,0.496390824544226,0.568841409328725,0
7,0.01,100,1,0.8,0,0,-1.34932812090495,-2.37452512943285,-1.8619266251689,0
7,0.05,100,1,0.8,0,0,0.655475635473903,0.546929720698628,0.601202678086266,0
7,0.1,100,1,0.8,0,0,0.671710639430913,0.467585992924742,0.569648316177828,0
7,0.3,100,1,0.8,0,0,0.561389868382641,0.537956762089684,0.549673315236162,0
9,0.01,100,1,0.8,0,0,-1.40087388607658,-2.4271210337104,-1.91399745989349,0
9,0.05,100,1,0.8,0,0,0.678779620066719,0.46785914922218,0.57331938464445,0
9,0.1,100,1,0.8,0,0,0.651181534980726,0.419577893540045,0.535379714260385,0
9,0.3,100,1,0.8,0,0,0.687668069370483,0.433097793513638,0.560382931442061,0
3,0.01,100,0.6,1,0,0,-1.35926448922532,-2.33113037440449,-1.84519743181491,0
3,0.05,100,0.6,1,0,0,0.65505939361578,0.678420251472189,0.666739822543985,0
3,0.1,100,0.6,1,0,0,0.58782352213714,0.627705537302481,0.607764529719811,0
3,0.3,100,0.6,1,0,0,0.586595586970034,0.56209068502512,0.574343135997577,0
5,0.01,100,0.6,1,0,0,-1.39431278870653,-2.35869730092791,-1.87650504481722,0
5,0.05,100,0.6,1,0,0,0.632803111933161,0.647394327776438,0.640098719854799,0
5,0.1,100,0.6,1,0,0,0.636888027505021,0.687303041383604,0.662095534444312,0
5,0.3,100,0.6,1,0,0,0.474688533963421,0.466895714605513,0.470792124284467,0
7,0.01,100,0.6,1,0,0,-1.36533022608985,-2.33137570513385,-1.84835296561185,0
7,0.05,100,0.6,1,0,0,0.6261024171473,0.62159574743945,0.623849082293375,0
7,0.1,100,0.6,1,0,0,0.580940563725708,0.59907100399694,0.590005783861324,0
7,0.3,100,0.6,1,0,0,0.548172581950659,0.561470312848339,0.554821447399499,0
9,0.05,100,0.6,1,0,0,0.61633682551366,0.63485698821465,0.625596906864155,0
9,0.1,100,0.6,1,0,0,0.602489208820962,0.598243278791013,0.600366243805987,0
9,0.3,100,0.6,1,0,0,0.542762410203693,0.500959731494138,0.521861070848916,0
3,0.01,100,0.8,1,0,0,-1.33808944870752,-2.3306986311147,-1.83439403991111,0
3,0.05,100,0.8,1,0,0,0.639028068884106,0.656871103116165,0.647949586000135,0
3,0.1,100,0.8,1,0,0,0.586784227774949,0.591674927236251,0.5892295775056,0
3,0.3,100,0.8,1,0,0,0.557315709041338,0.513599986681851,0.535457847861595,0
5,0.01,100,0.8,1,0,0,-1.37200595182336,-2.30357117826887,-1.83778856504611,0
5,0.05,100,0.8,1,0,0,0.651338688762032,0.635324481914813,0.643331585338423,0
5,0.1,100,0.8,1,0,0,0.660250026906551,0.613276403017632,0.636763214962091,0
5,0.3,100,0.8,1,0,0,0.651914014768985,0.534811325115017,0.593362669942001,0
7,0.05,100,0.8,1,0,0,0.634336031386197,0.657951911540464,0.646143971463331,0
7,0.1,100,0.8,1,0,0,0.662401431384565,0.565677149963798,0.614039290674182,0
7,0.3,100,0.8,1,0,0,0.544234690800842,0.588983967188173,0.566609328994508,0
9,0.01,100,0.8,1,0,0,-1.37693092260801,-2.34563418788897,-1.86128255524849,0
9,0.05,100,0.8,1,0,0,0.643676724277646,0.627777029765375,0.63572687702151,0
9,0.1,100,0.8,1,0,0,0.625416584166607,0.651860864016125,0.638638724091366,0
9,0.3,100,0.8,1,0,0,0.673237764728501,0.588984065558467,0.631110915143484,0
3,0.01,100,1,1,0,0,-1.33916041202643,-2.33836847219657,-1.8387644421115,0
3,0.05,100,1,1,0,0,0.685054755068466,0.656762971839277,0.670908863453872,0
3,0.1,100,1,1,0,0,0.661655997909356,0.648437070183936,0.655046534046646,0
3,0.3,100,1,1,0,0,0.654860843147162,0.632743246626157,0.643802044886659,0
5,0.01,100,1,1,0,0,-1.34821435888049,-2.36398341096781,-1.85609888492415,0
5,0.05,100,1,1,0,0,0.683492806182481,0.538425758663663,0.610959282423072,0
5,0.1,100,1,1,0,0,0.679779252841047,0.5174349400122,0.598607096426624,0
5,0.3,100,1,1,0,0,0.649581533479152,0.47084725341116,0.560214393445156,0
7,0.01,100,1,1,0,0,-1.37785219020943,-2.45375669623454,-1.91580444322198,0
7,0.05,100,1,1,0,0,0.628958301073726,0.420627684733944,0.524792992903835,0
7,0.1,100,1,1,0,0,0.649641059960331,0.432430623211505,0.541035841585918,0
7,0.3,100,1,1,0,0,0.608737081560901,0.451176858973886,0.529956970267393,0
9,0.01,100,1,1,0,0,-1.50386667217959,-2.56631049203511,-2.03508858210735,0
9,0.05,100,1,1,0,0,0.562613559543621,0.180538338131438,0.371575948837529,0
9,0.1,100,1,1,0,0,0.541675623751735,0.157868833320869,0.349772228536302,0
9,0.3,100,1,1,0,0,0.508071807497998,0.134085304440458,0.321078555969228,0
3,0.01,100,0.6,0.6,0.5,0,-1.50329844949687,-2.46791469896982,-1.98560657423335,0
