"x"
49.4
46.1
48.7
49.1
47
51.9
54.3
47.3
48
48.6
49
43.9
47.2
48.5
47.3
46.1
48.2
50.5
50.3
53.4
52.3
52.1
50.9
45.6
48.9
48.2
48.3
49
48.7
48.7
47.9
45.8
45.8
45.9
42.4
48.9
50.5
46.5
52
52
49.1
49.3
57.6
47.5
50.3
42.7
49.2
48.2
52.8
49.7
46.7
50.2
50.4
49.4
44.1
46.3
53.8
49.7
44.3
48.2
47.9
45.4
50.1
52
54.1
47.8
46.9
45.6
49.9
48.1
44.8
51.4
50.8
50.9
53.2
51.9
49
45
48.5
48.2
47
51.7
46.7
48.7
51.9
51.1
44.1
47.4
50
49.4
50.5
44.1
48.9
48.6
46.4
53.6
47.3
49
49
49.7
51.2
49.2
52.5
48.6
48
42.1
49.6
54.5
46.1
49.2
53.2
45.8
52.8
47.2
43.7
29.8
40.3
41.5
43.5
37.3
43.2
40.4
37.5
27.6
31
34.6
25.8
34.4
37.3
39.7
35.2
42.6
34.1
25.5
29.4
43.5
36.2
20.7
30.9
15.2
27.5
23.9
43.8
25.9
42.2
36.7
31.7
38.1
32.3
34.6
22.9
27.4
29.7
28.6
28.6
33.6
39.2
27.4
34.1
23.4
33.6
41.6
22.3
24.3
34.5
29.2
42.6
42.8
36.3
39.4
33.8
43.6
31.7
30.2
44.5
30.4
43.3
36.8
34.8
24.1
44.8
29.1
35.1
29.6
25
29.2
30.9
29.2
28.3
32.5
40.7
36.8
30.4
39.7
31.3
22
30.3
40.9
25.1
25.8
18.8
30.4
35.1
38.9
18.8
28.9
35.3
36
37.9
39.7
18.6
17.7
31.2
34.7
37.1
40.2
40.7
23.7
27.3
25
38.4
32.5
30.4
33.5
31.1
27.3
35.2
36.6
39.2
35
36.1
46.2
44.2
35.1
22
24.6
23.5
