"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","12","0","0.96","1.5","1.73"
"LinReg MS","12","0","0.88","1.5","1.73"
"DataSplitting","12","0","0.92","1.5","1.73"
"MultipleDataSplitting","12","0","0.88","1.5","1.73"
"Knockoff","12","0.358974358974359","1","1.5","1.73"
"BH","12","0","0.96","1.5","1.73"
