"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","9","0.04","1","1.49","1.66"
"LinReg MS","9","0","0.92","1.49","1.66"
"DataSplitting","9","0","1","1.49","1.66"
"MultipleDataSplitting","9","0","0.92","1.49","1.66"
"Knockoff","9","0.137931034482759","1","1.49","1.66"
"BH","9","0","1","1.49","1.66"
