"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","12","0","1","1.5","1.69"
"LinReg MS","12","0","0.92","1.5","1.69"
"DataSplitting","12","0","1","1.5","1.69"
"MultipleDataSplitting","12","0","0.92","1.5","1.69"
"Knockoff","12","0","1","1.5","1.69"
"BH","12","0","1","1.5","1.69"
