"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","13","0","0.96","1.49","1.61"
"LinReg MS","13","0","0.88","1.49","1.61"
"DataSplitting","13","0","0.96","1.49","1.61"
"MultipleDataSplitting","13","0","0.88","1.49","1.61"
"Knockoff","13","0","1","1.49","1.61"
"BH","13","0","0.96","1.49","1.61"
