"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","10","0","0.96","1.5","1.77"
"LinReg MS","10","0","0.88","1.5","1.77"
"DataSplitting","10","0","0.96","1.5","1.77"
"MultipleDataSplitting","10","0","0.88","1.5","1.77"
"Knockoff","10","0","1","1.5","1.77"
"BH","10","0","0.96","1.5","1.77"
