"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","12","0","0.96","1.5","1.65"
"LinReg MS","12","0","0.88","1.5","1.65"
"DataSplitting","12","0","0.96","1.5","1.65"
"MultipleDataSplitting","12","0","0.88","1.5","1.65"
"Knockoff","12","0.166666666666667","1","1.5","1.65"
"BH","12","0","0.96","1.5","1.65"
