"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","8","0","0.96","1.49","1.61"
"LinReg MS","8","0","0.88","1.49","1.61"
"DataSplitting","8","0","0.96","1.49","1.61"
"MultipleDataSplitting","8","0","0.88","1.49","1.61"
"Knockoff","8","0","1","1.49","1.61"
"BH","8","0","0.96","1.49","1.61"
