"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","10","0","0.96","1.49","1.61"
"LinReg MS","10","0","0.88","1.49","1.61"
"DataSplitting","10","0","0.96","1.49","1.61"
"MultipleDataSplitting","10","0","0.88","1.49","1.61"
"Knockoff","10","0","1","1.49","1.61"
"BH","10","0","0.96","1.49","1.61"
