"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","10","0","0.92","1.5","1.7"
"LinReg MS","10","0","0.88","1.5","1.7"
"DataSplitting","10","0","0.92","1.5","1.7"
"MultipleDataSplitting","10","0","0.88","1.5","1.7"
"Knockoff","10","0.166666666666667","1","1.5","1.7"
"BH","10","0","0.96","1.5","1.7"
