"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","9","0","0.96","1.49","1.63"
"LinReg MS","9","0","0.88","1.49","1.63"
"DataSplitting","9","0","0.96","1.49","1.63"
"MultipleDataSplitting","9","0","0.88","1.49","1.63"
"Knockoff","9","0.172413793103448","0.96","1.49","1.63"
"BH","9","0","0.96","1.49","1.63"
