"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","11","0","1","1.5","1.62"
"LinReg MS","11","0","0.92","1.5","1.62"
"DataSplitting","11","0","1","1.5","1.62"
"MultipleDataSplitting","11","0","0.92","1.5","1.62"
"Knockoff","11","0.107142857142857","1","1.5","1.62"
"BH","11","0","1","1.5","1.62"
