"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","10","0","0.96","1.49","1.67"
"LinReg MS","10","0","0.88","1.49","1.67"
"DataSplitting","10","0","0.96","1.49","1.67"
"MultipleDataSplitting","10","0","0.88","1.49","1.67"
"Knockoff","10","0.166666666666667","1","1.49","1.67"
"BH","10","0","0.96","1.49","1.67"
