"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","9","0","1","1.5","1.68"
"LinReg MS","9","0","0.92","1.5","1.68"
"DataSplitting","9","0","1","1.5","1.68"
"MultipleDataSplitting","9","0","0.92","1.5","1.68"
"Knockoff","9","0.0740740740740741","1","1.5","1.68"
"BH","9","0","1","1.5","1.68"
