"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","11","0","1","1.5","1.67"
"LinReg MS","11","0","0.92","1.5","1.67"
"DataSplitting","11","0","1","1.5","1.67"
"MultipleDataSplitting","11","0","0.92","1.5","1.67"
"Knockoff","11","0","1","1.5","1.67"
"BH","11","0","1","1.5","1.67"
