"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","9","0","1","1.5","1.75"
"LinReg MS","9","0","0.92","1.5","1.75"
"DataSplitting","9","0","1","1.5","1.75"
"MultipleDataSplitting","9","0","0.92","1.5","1.75"
"Knockoff","9","0.107142857142857","1","1.5","1.75"
"BH","9","0","1","1.5","1.75"
