"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","9","0","0.88","1.49","1.6"
"LinReg MS","9","0","0.84","1.49","1.6"
"DataSplitting","9","0","0.88","1.49","1.6"
"MultipleDataSplitting","9","0","0.8","1.49","1.6"
"Knockoff","9","0.0740740740740741","1","1.49","1.6"
"BH","9","0","0.92","1.49","1.6"
