"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","11","0","1","1.49","1.69"
"LinReg MS","11","0","0.92","1.49","1.69"
"DataSplitting","11","0","1","1.49","1.69"
"MultipleDataSplitting","11","0","0.92","1.49","1.69"
"Knockoff","11","0.166666666666667","1","1.49","1.69"
"BH","11","0","1","1.49","1.69"
