"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","8","0","1","1.5","1.63"
"LinReg MS","8","0","0.92","1.5","1.63"
"DataSplitting","8","0","1","1.5","1.63"
"MultipleDataSplitting","8","0","0.92","1.5","1.63"
"Knockoff","8","0.107142857142857","1","1.5","1.63"
"BH","8","0","1","1.5","1.63"
