"V1","V2","V3","V4"
"DataSplitting","7","0.12","0.88"
"MultipleDataSplitting","7","0","0.84"
"Knockoff","7","0.0833333333333333","0.88"
"BH","7","0","0.76"
"LinReg DS","7","0.181818181818182","0.72"
"LinReg MS","7","0","0.76"
"DataSplitting","7","0.0434782608695652","0.88"
"MultipleDataSplitting","7","0.0454545454545455","0.84"
"Knockoff","7","0.0833333333333333","0.88"
"BH","7","0","0.8"
"LinReg DS","7","0","0.64"
"LinReg MS","7","0","0.84"
"DataSplitting","7","0.111111111111111","0.96"
"MultipleDataSplitting","7","0.04","0.96"
"Knockoff","7","0.0769230769230769","0.96"
"BH","7","0","0.92"
"LinReg DS","7","0.0588235294117647","0.64"
"LinReg MS","7","0","0.76"
"DataSplitting","7","0.214285714285714","0.88"
"MultipleDataSplitting","7","0.12","0.88"
"Knockoff","7","0.0869565217391304","0.84"
"BH","7","0.05","0.76"
"LinReg DS","7","0","0.68"
"LinReg MS","7","0","0.72"
"DataSplitting","7","0","0.8"
"MultipleDataSplitting","7","0","0.8"
"Knockoff","7","0.0909090909090909","0.8"
"BH","7","0","0.8"
"LinReg DS","7","0.2","0.8"
"LinReg MS","7","0","0.88"
"DataSplitting","7","0.0416666666666667","0.92"
"MultipleDataSplitting","7","0","0.84"
"Knockoff","7","0.0416666666666667","0.92"
"BH","7","0","0.84"
"LinReg DS","7","0.1","0.72"
"LinReg MS","7","0","0.72"
"DataSplitting","7","0.0909090909090909","0.8"
"MultipleDataSplitting","7","0.0952380952380952","0.76"
"Knockoff","7","0.230769230769231","0.8"
"BH","7","0","0.76"
"LinReg DS","7","0.266666666666667","0.88"
"LinReg MS","7","0.0434782608695652","0.88"
"DataSplitting","7","0.04","0.96"
"MultipleDataSplitting","7","0","0.92"
"Knockoff","7","0.04","0.96"
"BH","7","0","0.92"
"LinReg DS","7","0.12","0.88"
"LinReg MS","7","0","0.96"
"DataSplitting","7","0.04","0.96"
"MultipleDataSplitting","7","0","0.92"
"Knockoff","7","0","0.96"
"BH","7","0","0.96"
"LinReg DS","7","0.166666666666667","0.8"
"LinReg MS","7","0","0.84"
"DataSplitting","7","0.0454545454545455","0.84"
"MultipleDataSplitting","7","0.0434782608695652","0.88"
"Knockoff","7","0.214285714285714","0.88"
"BH","7","0","0.8"
"LinReg DS","7","0","0.44"
"LinReg MS","7","0","0.52"
"DataSplitting","7","0.0869565217391304","0.84"
"MultipleDataSplitting","7","0.0454545454545455","0.84"
"Knockoff","7","0.0454545454545455","0.84"
"BH","7","0","0.72"
"LinReg DS","7","0.0416666666666667","0.92"
"LinReg MS","7","0","0.92"
"DataSplitting","7","0.0416666666666667","0.92"
"MultipleDataSplitting","7","0.0434782608695652","0.88"
"Knockoff","7","0.0833333333333333","0.88"
"BH","7","0","0.84"
"LinReg DS","7","0.111111111111111","0.64"
"LinReg MS","7","0","0.72"
"DataSplitting","7","0.153846153846154","0.88"
"MultipleDataSplitting","7","0","0.88"
"Knockoff","7","0.153846153846154","0.88"
"BH","7","0","0.8"
"LinReg DS","7","0.0434782608695652","0.88"
"LinReg MS","7","0","0.88"
"DataSplitting","7","0.2","0.96"
"MultipleDataSplitting","7","0.04","0.96"
"Knockoff","7","0.0769230769230769","0.96"
"BH","7","0","0.88"
"LinReg DS","7","0.208333333333333","0.76"
"LinReg MS","7","0","0.68"
"DataSplitting","7","0","0.84"
"MultipleDataSplitting","7","0","0.8"
"Knockoff","7","0","0.84"
"BH","7","0","0.84"
"LinReg DS","7","0","0.64"
"LinReg MS","7","0","0.6"
"DataSplitting","7","0.0454545454545455","0.84"
"MultipleDataSplitting","7","0","0.8"
"Knockoff","7","0","0.8"
"BH","7","0","0.68"
"LinReg DS","7","0.0769230769230769","0.48"
"LinReg MS","7","0","0.68"
