"Method","Delta","FDP","Power"
"Boost DS",8,0.136363636363636,0.76
"Boost MS",8,0,0.8
"DataSplitting",8,0.0869565217391304,0.84
"MultipleDataSplitting",8,0,0.88
"Knockoff",8,0.12,0.88
"Benjamini–Hochberg (BH)",8,0,0.76
"Boost DS",8,0,0.64
"Boost MS",8,0,0.72
"DataSplitting",8,0,0.88
"MultipleDataSplitting",8,0,0.88
"Knockoff",8,0.04,0.96
"Benjamini–Hochberg (BH)",8,0,0.88
"Boost DS",8,0,0.64
"Boost MS",8,0,0.6
"DataSplitting",8,0,0.68
"MultipleDataSplitting",8,0,0.8
"Knockoff",8,0,0.84
"Benjamini–Hochberg (BH)",8,0,0.8
"Boost DS",8,0,0
"Boost MS",8,0,0.56
"DataSplitting",8,0.130434782608696,0.8
"MultipleDataSplitting",8,0,0.76
"Knockoff",8,0,0.72
"Benjamini–Hochberg (BH)",8,0,0.76
"Boost DS",8,0.142857142857143,0.72
"Boost MS",8,0,0.84
"DataSplitting",8,0.148148148148148,0.92
"MultipleDataSplitting",8,0.0416666666666667,0.92
"Knockoff",8,0.233333333333333,0.92
"Benjamini–Hochberg (BH)",8,0,0.88
"Boost DS",8,0.0555555555555556,0.68
"Boost MS",8,0,0.68
"DataSplitting",8,0.192307692307692,0.84
"MultipleDataSplitting",8,0.0454545454545455,0.84
"Knockoff",8,0,0.8
"Benjamini–Hochberg (BH)",8,0,0.8
"Boost DS",8,0,0.6
"Boost MS",8,0,0.72
"DataSplitting",8,0.0476190476190476,0.8
"MultipleDataSplitting",8,0,0.8
"Knockoff",8,0,0.88
"Benjamini–Hochberg (BH)",8,0,0.72
"Boost DS",8,0.05,0.76
"Boost MS",8,0.0476190476190476,0.8
"DataSplitting",8,0.266666666666667,0.88
"MultipleDataSplitting",8,0.0833333333333333,0.88
"Knockoff",8,0.258064516129032,0.92
"Benjamini–Hochberg (BH)",8,0,0.84
"Boost DS",8,0.0476190476190476,0.8
"Boost MS",8,0,0.8
"DataSplitting",8,0,0.92
"MultipleDataSplitting",8,0,0.88
"Knockoff",8,0.0416666666666667,0.92
"Benjamini–Hochberg (BH)",8,0,0.88
"Boost DS",8,0.28,0.72
"Boost MS",8,0,0.76
"DataSplitting",8,0.05,0.76
"MultipleDataSplitting",8,0,0.84
"Knockoff",8,0.0434782608695652,0.88
"Benjamini–Hochberg (BH)",8,0,0.84
"Boost DS",8,0,0.84
"Boost MS",8,0,0.84
"DataSplitting",8,0.0384615384615385,1
"MultipleDataSplitting",8,0,1
"Knockoff",8,0.193548387096774,1
"Benjamini–Hochberg (BH)",8,0,0.96
"Boost DS",8,0,0.8
"Boost MS",8,0.12,0.88
"DataSplitting",8,0.111111111111111,0.96
"MultipleDataSplitting",8,0,0.88
"Knockoff",8,0,0.96
"Benjamini–Hochberg (BH)",8,0,0.92
"Boost DS",8,0,0.44
"Boost MS",8,0,0.76
"DataSplitting",8,0,0.92
"MultipleDataSplitting",8,0,0.92
"Knockoff",8,0.225806451612903,0.96
"Benjamini–Hochberg (BH)",8,0,0.92
"Boost DS",8,0.0526315789473684,0.72
"Boost MS",8,0,0.72
"DataSplitting",8,0.0833333333333333,0.88
"MultipleDataSplitting",8,0,0.84
"Knockoff",8,0.0434782608695652,0.88
"Benjamini–Hochberg (BH)",8,0,0.8
"Boost DS",8,0.0476190476190476,0.8
"Boost MS",8,0,0.92
"DataSplitting",8,0.111111111111111,0.96
"MultipleDataSplitting",8,0,0.92
"Knockoff",8,0.111111111111111,0.96
"Benjamini–Hochberg (BH)",8,0,0.96
"Boost DS",8,0,0.8
"Boost MS",8,0,0.8
"DataSplitting",8,0.12,0.88
"MultipleDataSplitting",8,0,0.88
"Knockoff",8,0,0.92
"Benjamini–Hochberg (BH)",8,0,0.88
