"source_file","Method","Delta","FDP","Power"
"30","Mars DS",8,0,0
"30","Mars MS",8,0,0.6
"30","DataSplitting",8,0,0
"30","MultipleDataSplitting",8,0,0
"30","Knockoff",8,0,0
"30","Benjamini–Hochberg (BH)",8,0,0
"31","Mars DS",9,0,0
"31","Mars MS",9,0,0.7
"31","DataSplitting",9,0,0
"31","MultipleDataSplitting",9,0,0
"31","Knockoff",9,0,0
"31","Benjamini–Hochberg (BH)",9,0,0
"32","Mars DS",10,0,0
"32","Mars MS",10,0,0.6
"32","DataSplitting",10,0,0
"32","MultipleDataSplitting",10,0,0
"32","Knockoff",10,0,0
"32","Benjamini–Hochberg (BH)",10,0,0
"33","Mars DS",11,0,0
"33","Mars MS",11,0,0.6
"33","DataSplitting",11,0,0
"33","MultipleDataSplitting",11,0,0
"33","Knockoff",11,0,0
"33","Benjamini–Hochberg (BH)",11,0,0
"34","Mars DS",12,0,0
"34","Mars MS",12,0,0.7
"34","DataSplitting",12,0,0
"34","MultipleDataSplitting",12,0,0
"34","Knockoff",12,0,0
"34","Benjamini–Hochberg (BH)",12,0,0
"35","Mars DS",13,0,0
"35","Mars MS",13,0,0.6
"35","DataSplitting",13,0,0
"35","MultipleDataSplitting",13,0,0
"35","Knockoff",13,0,0
"35","Benjamini–Hochberg (BH)",13,0,0
"36","Mars DS",7,0.166666666666667,1
"36","Mars MS",7,0,1
"36","DataSplitting",7,0,0
"36","MultipleDataSplitting",7,0,0
"36","Knockoff",7,0.928571428571429,0.1
"36","Benjamini–Hochberg (BH)",7,0,0
"37","Mars DS",8,0.0909090909090909,1
"37","Mars MS",8,0,1
"37","DataSplitting",8,0,0
"37","MultipleDataSplitting",8,0,0
"37","Knockoff",8,0.923076923076923,0.1
"37","Benjamini–Hochberg (BH)",8,0,0
"38","Mars DS",9,0.0909090909090909,1
"38","Mars MS",9,0,1
"38","DataSplitting",9,0,0
"38","MultipleDataSplitting",9,0,0
"38","Knockoff",9,0.928571428571429,0.1
"38","Benjamini–Hochberg (BH)",9,0,0
"39","Mars DS",10,0.0909090909090909,1
"39","Mars MS",10,0,0.9
"39","DataSplitting",10,0,0
"39","MultipleDataSplitting",10,0,0
"39","Knockoff",10,0.928571428571429,0.1
"39","Benjamini–Hochberg (BH)",10,0,0
"40","Mars DS",11,0.0909090909090909,1
"40","Mars MS",11,0,1
"40","DataSplitting",11,0,0
"40","MultipleDataSplitting",11,0,0
"40","Knockoff",11,0.928571428571429,0.1
"40","Benjamini–Hochberg (BH)",11,0,0
"41","Mars DS",12,0.0909090909090909,1
"41","Mars MS",12,0,1
"41","DataSplitting",12,0,0
"41","MultipleDataSplitting",12,0,0
"41","Knockoff",12,0.928571428571429,0.1
"41","Benjamini–Hochberg (BH)",12,0,0
"42","Mars DS",13,0.0909090909090909,1
"42","Mars MS",13,0,1
"42","DataSplitting",13,0,0
"42","MultipleDataSplitting",13,0,0
"42","Knockoff",13,0.923076923076923,0.1
"42","Benjamini–Hochberg (BH)",13,0,0
"43","Mars DS",7,0.166666666666667,1
"43","Mars MS",7,0,1
"43","DataSplitting",7,0,0
"43","MultipleDataSplitting",7,0,0
"43","Knockoff",7,0,0
"43","Benjamini–Hochberg (BH)",7,0,0
"44","Mars DS",8,0.0909090909090909,1
"44","Mars MS",8,0,1
"44","DataSplitting",8,0,0
"44","MultipleDataSplitting",8,0,0
"44","Knockoff",8,0,0
"44","Benjamini–Hochberg (BH)",8,0,0
"45","Mars DS",9,0.166666666666667,1
"45","Mars MS",9,0,1
"45","DataSplitting",9,0,0
"45","MultipleDataSplitting",9,0,0
"45","Knockoff",9,0,0
"45","Benjamini–Hochberg (BH)",9,0,0
"46","Mars DS",10,0.0909090909090909,1
"46","Mars MS",10,0,1
"46","DataSplitting",10,0,0
"46","MultipleDataSplitting",10,0,0
"46","Knockoff",10,0,0
"46","Benjamini–Hochberg (BH)",10,0,0
"47","Mars DS",11,0.166666666666667,1
"47","Mars MS",11,0,1
"47","DataSplitting",11,0,0
"47","MultipleDataSplitting",11,0,0
"47","Knockoff",11,0,0
"47","Benjamini–Hochberg (BH)",11,0,0
"48","Mars DS",12,0.166666666666667,1
"48","Mars MS",12,0,1
"48","DataSplitting",12,0,0
"48","MultipleDataSplitting",12,0,0
"48","Knockoff",12,0,0
"48","Benjamini–Hochberg (BH)",12,0,0
"49","Mars DS",13,0.166666666666667,1
"49","Mars MS",13,0,1
"49","DataSplitting",13,0,0
"49","MultipleDataSplitting",13,0,0
"49","Knockoff",13,0,0
"49","Benjamini–Hochberg (BH)",13,0,0
"50","Mars DS",7,0,0
"50","Mars MS",7,0,0.8
"50","DataSplitting",7,0,0
"50","MultipleDataSplitting",7,0,0
"50","Knockoff",7,0,0
"50","Benjamini–Hochberg (BH)",7,0,0
"51","Mars DS",8,0,0
"51","Mars MS",8,0,0.8
"51","DataSplitting",8,0,0
"51","MultipleDataSplitting",8,0,0
"51","Knockoff",8,0,0
"51","Benjamini–Hochberg (BH)",8,0,0
"52","Mars DS",9,0,0
"52","Mars MS",9,0,0.8
"52","DataSplitting",9,0,0
"52","MultipleDataSplitting",9,0,0
"52","Knockoff",9,0,0
"52","Benjamini–Hochberg (BH)",9,0,0
"53","Mars DS",10,0,0
"53","Mars MS",10,0,0.8
"53","DataSplitting",10,0,0
"53","MultipleDataSplitting",10,0,0
"53","Knockoff",10,0,0
"53","Benjamini–Hochberg (BH)",10,0,0
"54","Mars DS",11,0,0
"54","Mars MS",11,0,0.8
"54","DataSplitting",11,0,0
"54","MultipleDataSplitting",11,0,0
"54","Knockoff",11,0,0
"54","Benjamini–Hochberg (BH)",11,0,0
"55","Mars DS",12,0,0
"55","Mars MS",12,0,0.7
"55","DataSplitting",12,0,0
"55","MultipleDataSplitting",12,0,0
"55","Knockoff",12,0,0
"55","Benjamini–Hochberg (BH)",12,0,0
"56","Mars DS",13,0,0
"56","Mars MS",13,0,0.8
"56","DataSplitting",13,0,0
"56","MultipleDataSplitting",13,0,0
"56","Knockoff",13,0,0
"56","Benjamini–Hochberg (BH)",13,0,0
"57","Mars DS",7,0.230769230769231,1
"57","Mars MS",7,0,1
"57","DataSplitting",7,0,0
"57","MultipleDataSplitting",7,0,0
"57","Knockoff",7,0,0
"57","Benjamini–Hochberg (BH)",7,0,0
"58","Mars DS",8,0.230769230769231,1
"58","Mars MS",8,0,1
"58","DataSplitting",8,0,0
"58","MultipleDataSplitting",8,0,0
"58","Knockoff",8,0,0
"58","Benjamini–Hochberg (BH)",8,0,0
"59","Mars DS",9,0.0909090909090909,1
"59","Mars MS",9,0,1
"59","DataSplitting",9,0,0
"59","MultipleDataSplitting",9,0,0
"59","Knockoff",9,0,0
"59","Benjamini–Hochberg (BH)",9,0,0
"60","Mars DS",10,0.166666666666667,1
"60","Mars MS",10,0,1
"60","DataSplitting",10,0,0
"60","MultipleDataSplitting",10,0,0
"60","Knockoff",10,0,0
"60","Benjamini–Hochberg (BH)",10,0,0
"61","Mars DS",11,0,1
"61","Mars MS",11,0,1
"61","DataSplitting",11,0,0
"61","MultipleDataSplitting",11,0,0
"61","Knockoff",11,0,0
"61","Benjamini–Hochberg (BH)",11,0,0
"62","Mars DS",12,0.166666666666667,1
"62","Mars MS",12,0,1
"62","DataSplitting",12,0,0
"62","MultipleDataSplitting",12,0,0
"62","Knockoff",12,1,0
"62","Benjamini–Hochberg (BH)",12,0,0
"63","Mars DS",13,0,1
"63","Mars MS",13,0,1
"63","DataSplitting",13,0,0
"63","MultipleDataSplitting",13,0,0
"63","Knockoff",13,0,0
"63","Benjamini–Hochberg (BH)",13,0,0
"64","Mars DS",7,0,1
"64","Mars MS",7,0,0.9
"64","DataSplitting",7,0,0
"64","MultipleDataSplitting",7,0,0
"64","Knockoff",7,0,0
"64","Benjamini–Hochberg (BH)",7,0,0
"65","Mars DS",8,0,1
"65","Mars MS",8,0,1
"65","DataSplitting",8,0,0
"65","MultipleDataSplitting",8,0,0
"65","Knockoff",8,0,0
"65","Benjamini–Hochberg (BH)",8,0,0
"66","Mars DS",9,0,1
"66","Mars MS",9,0,1
"66","DataSplitting",9,0,0
"66","MultipleDataSplitting",9,0,0
"66","Knockoff",9,0,0
"66","Benjamini–Hochberg (BH)",9,0,0
"67","Mars DS",10,0,1
"67","Mars MS",10,0,1
"67","DataSplitting",10,0,0
"67","MultipleDataSplitting",10,0,0
"67","Knockoff",10,0,0
"67","Benjamini–Hochberg (BH)",10,0,0
"68","Mars DS",11,0,1
"68","Mars MS",11,0,1
"68","DataSplitting",11,0,0
"68","MultipleDataSplitting",11,0,0
"68","Knockoff",11,0,0
"68","Benjamini–Hochberg (BH)",11,0,0
"69","Mars DS",12,0,1
"69","Mars MS",12,0,1
"69","DataSplitting",12,0,0
"69","MultipleDataSplitting",12,0,0
"69","Knockoff",12,0,0
"69","Benjamini–Hochberg (BH)",12,0,0
"70","Mars DS",13,0,1
"70","Mars MS",13,0,1
"70","DataSplitting",13,0,0
"70","MultipleDataSplitting",13,0,0
"70","Knockoff",13,0,0
"70","Benjamini–Hochberg (BH)",13,0,0
"71","Mars DS",7,0,1
"71","Mars MS",7,0,1
"71","DataSplitting",7,0,0
"71","MultipleDataSplitting",7,0,0
"71","Knockoff",7,0.833333333333333,0.2
"71","Benjamini–Hochberg (BH)",7,0,0
"72","Mars DS",8,0,1
"72","Mars MS",8,0,1
"72","DataSplitting",8,0,0
"72","MultipleDataSplitting",8,0,0
"72","Knockoff",8,0,0
"72","Benjamini–Hochberg (BH)",8,0,0
"73","Mars DS",9,0,1
"73","Mars MS",9,0,1
"73","DataSplitting",9,0,0
"73","MultipleDataSplitting",9,0,0
"73","Knockoff",9,0,0
"73","Benjamini–Hochberg (BH)",9,0,0
"74","Mars DS",10,0,1
"74","Mars MS",10,0,1
"74","DataSplitting",10,0,0
"74","MultipleDataSplitting",10,0,0
"74","Knockoff",10,0,0
"74","Benjamini–Hochberg (BH)",10,0,0
"75","Mars DS",11,0,1
"75","Mars MS",11,0,1
"75","DataSplitting",11,0,0
"75","MultipleDataSplitting",11,0,0
"75","Knockoff",11,0,0
"75","Benjamini–Hochberg (BH)",11,0,0
"76","Mars DS",12,0,1
"76","Mars MS",12,0,1
"76","DataSplitting",12,0,0
"76","MultipleDataSplitting",12,0,0
"76","Knockoff",12,0,0
"76","Benjamini–Hochberg (BH)",12,0,0
"77","Mars DS",13,0,1
"77","Mars MS",13,0,1
"77","DataSplitting",13,0,0
"77","MultipleDataSplitting",13,0,0
"77","Knockoff",13,0,0
"77","Benjamini–Hochberg (BH)",13,0,0
"78","Mars DS",7,0,0
"78","Mars MS",7,0,0.8
"78","DataSplitting",7,0,0
"78","MultipleDataSplitting",7,0,0
"78","Knockoff",7,0,0
"78","Benjamini–Hochberg (BH)",7,0,0
"79","Mars DS",8,0,0
"79","Mars MS",8,0,0.7
"79","DataSplitting",8,0,0
"79","MultipleDataSplitting",8,0,0
"79","Knockoff",8,0,0
"79","Benjamini–Hochberg (BH)",8,0,0
"80","Mars DS",9,0,0
"80","Mars MS",9,0,0.7
"80","DataSplitting",9,0,0
"80","MultipleDataSplitting",9,0,0
"80","Knockoff",9,0,0
"80","Benjamini–Hochberg (BH)",9,0,0
"81","Mars DS",10,0,0
"81","Mars MS",10,0,0.7
"81","DataSplitting",10,0,0
"81","MultipleDataSplitting",10,0,0
"81","Knockoff",10,0,0
"81","Benjamini–Hochberg (BH)",10,0,0
"82","Mars DS",11,0,0
"82","Mars MS",11,0,0.8
"82","DataSplitting",11,0,0
"82","MultipleDataSplitting",11,0,0
"82","Knockoff",11,0,0
"82","Benjamini–Hochberg (BH)",11,0,0
"83","Mars DS",12,0,0
"83","Mars MS",12,0,0.8
"83","DataSplitting",12,0,0
"83","MultipleDataSplitting",12,0,0
"83","Knockoff",12,0,0
"83","Benjamini–Hochberg (BH)",12,0,0
"84","Mars DS",13,0,0
"84","Mars MS",13,0,0.8
"84","DataSplitting",13,0,0
"84","MultipleDataSplitting",13,0,0
"84","Knockoff",13,0,0
"84","Benjamini–Hochberg (BH)",13,0,0
"85","Mars DS",7,0,1
"85","Mars MS",7,0,0.9
"85","DataSplitting",7,0,0
"85","MultipleDataSplitting",7,0,0
"85","Knockoff",7,0,0
"85","Benjamini–Hochberg (BH)",7,0,0
"86","Mars DS",8,0,1
"86","Mars MS",8,0,0.9
"86","DataSplitting",8,0,0
"86","MultipleDataSplitting",8,0,0
"86","Knockoff",8,0,0
"86","Benjamini–Hochberg (BH)",8,0,0
"87","Mars DS",9,0,1
"87","Mars MS",9,0,0.9
"87","DataSplitting",9,0,0
"87","MultipleDataSplitting",9,0,0
"87","Knockoff",9,0,0
"87","Benjamini–Hochberg (BH)",9,0,0
"88","Mars DS",10,0,1
"88","Mars MS",10,0,1
"88","DataSplitting",10,0,0
"88","MultipleDataSplitting",10,0,0
"88","Knockoff",10,0,0
"88","Benjamini–Hochberg (BH)",10,0,0
"89","Mars DS",11,0,1
"89","Mars MS",11,0,1
"89","DataSplitting",11,0,0
"89","MultipleDataSplitting",11,0,0
"89","Knockoff",11,0,0
"89","Benjamini–Hochberg (BH)",11,0,0
"90","Mars DS",12,0,1
"90","Mars MS",12,0,1
"90","DataSplitting",12,0,0
"90","MultipleDataSplitting",12,0,0
"90","Knockoff",12,0,0
"90","Benjamini–Hochberg (BH)",12,0,0
"91","Mars DS",13,0,1
"91","Mars MS",13,0,1
"91","DataSplitting",13,0,0
"91","MultipleDataSplitting",13,0,0
"91","Knockoff",13,0,0
"91","Benjamini–Hochberg (BH)",13,0,0
"92","Mars DS",7,0,0
"92","Mars MS",7,0,0.9
"92","DataSplitting",7,0,0
"92","MultipleDataSplitting",7,0,0
"92","Knockoff",7,0,0
"92","Benjamini–Hochberg (BH)",7,0,0
"93","Mars DS",8,0.25,0.9
"93","Mars MS",8,0,0.9
"93","DataSplitting",8,0,0
"93","MultipleDataSplitting",8,0,0
"93","Knockoff",8,0,0
"93","Benjamini–Hochberg (BH)",8,0,0
"94","Mars DS",9,0,0
"94","Mars MS",9,0,0.8
"94","DataSplitting",9,0,0
"94","MultipleDataSplitting",9,0,0
"94","Knockoff",9,0,0
"94","Benjamini–Hochberg (BH)",9,0,0
"95","Mars DS",10,0,0
"95","Mars MS",10,0,0.8
"95","DataSplitting",10,0,0
"95","MultipleDataSplitting",10,0,0
"95","Knockoff",10,0,0
"95","Benjamini–Hochberg (BH)",10,0,0
"96","Mars DS",11,0,0
"96","Mars MS",11,0,0.8
"96","DataSplitting",11,0,0
"96","MultipleDataSplitting",11,0,0
"96","Knockoff",11,0,0
"96","Benjamini–Hochberg (BH)",11,0,0
"97","Mars DS",12,0,0
"97","Mars MS",12,0,0.8
"97","DataSplitting",12,0,0
"97","MultipleDataSplitting",12,0,0
"97","Knockoff",12,0,0
"97","Benjamini–Hochberg (BH)",12,0,0
"98","Mars DS",13,0,0
"98","Mars MS",13,0,0.8
"98","DataSplitting",13,0,0
"98","MultipleDataSplitting",13,0,0
"98","Knockoff",13,0,0
"98","Benjamini–Hochberg (BH)",13,0,0
"99","Mars DS",7,0.166666666666667,1
"99","Mars MS",7,0,1
"99","DataSplitting",7,0,0
"99","MultipleDataSplitting",7,0,0
"99","Knockoff",7,0,0
"99","Benjamini–Hochberg (BH)",7,0,0
"100","Mars DS",8,0,1
"100","Mars MS",8,0,1
"100","DataSplitting",8,0,0
"100","MultipleDataSplitting",8,0,0
"100","Knockoff",8,0,0
"100","Benjamini–Hochberg (BH)",8,0,0
"101","Mars DS",9,0.0909090909090909,1
"101","Mars MS",9,0,1
"101","DataSplitting",9,0,0
"101","MultipleDataSplitting",9,0,0
"101","Knockoff",9,0,0
"101","Benjamini–Hochberg (BH)",9,0,0
"102","Mars DS",10,0.0909090909090909,1
"102","Mars MS",10,0,1
"102","DataSplitting",10,0,0
"102","MultipleDataSplitting",10,0,0
"102","Knockoff",10,0,0
"102","Benjamini–Hochberg (BH)",10,0,0
"103","Mars DS",11,0.230769230769231,1
"103","Mars MS",11,0,1
"103","DataSplitting",11,0,0
"103","MultipleDataSplitting",11,0,0
"103","Knockoff",11,0,0
"103","Benjamini–Hochberg (BH)",11,0,0
"104","Mars DS",12,0.375,1
"104","Mars MS",12,0,1
"104","DataSplitting",12,0,0
"104","MultipleDataSplitting",12,0,0
"104","Knockoff",12,0,0
"104","Benjamini–Hochberg (BH)",12,0,0
"105","Mars DS",13,0.375,1
"105","Mars MS",13,0,1
"105","DataSplitting",13,0,0
"105","MultipleDataSplitting",13,0,0
"105","Knockoff",13,0,0
"105","Benjamini–Hochberg (BH)",13,0,0
"106","Mars DS",7,0,0
"106","Mars MS",7,0,0
"106","DataSplitting",7,0,0
"106","MultipleDataSplitting",7,0,0
"106","Knockoff",7,0,0
"106","Benjamini–Hochberg (BH)",7,0,0
"107","Mars DS",8,0,0
"107","Mars MS",8,0,0
"107","DataSplitting",8,0,0
"107","MultipleDataSplitting",8,0,0
"107","Knockoff",8,0,0
"107","Benjamini–Hochberg (BH)",8,0,0
"108","Mars DS",9,0,0
"108","Mars MS",9,0,0
"108","DataSplitting",9,0,0
"108","MultipleDataSplitting",9,0,0
"108","Knockoff",9,1,0
"108","Benjamini–Hochberg (BH)",9,0,0
"109","Mars DS",10,0,0
"109","Mars MS",10,0,0
"109","DataSplitting",10,0,0
"109","MultipleDataSplitting",10,0,0
"109","Knockoff",10,0,0
"109","Benjamini–Hochberg (BH)",10,0,0
"110","Mars DS",11,0,0
"110","Mars MS",11,0,0
"110","DataSplitting",11,0,0
"110","MultipleDataSplitting",11,0,0
"110","Knockoff",11,1,0
"110","Benjamini–Hochberg (BH)",11,0,0
"111","Mars DS",12,0,0
"111","Mars MS",12,0,0
"111","DataSplitting",12,0,0
"111","MultipleDataSplitting",12,0,0
"111","Knockoff",12,0,0
"111","Benjamini–Hochberg (BH)",12,0,0
"112","Mars DS",13,0,0
"112","Mars MS",13,0,0
"112","DataSplitting",13,0,0
"112","MultipleDataSplitting",13,0,0
"112","Knockoff",13,1,0
"112","Benjamini–Hochberg (BH)",13,0,0
"113","Mars DS",7,0,0
"113","Mars MS",7,0,0.8
"113","DataSplitting",7,0,0
"113","MultipleDataSplitting",7,0,0
"113","Knockoff",7,0,0
"113","Benjamini–Hochberg (BH)",7,0,0
"114","Mars DS",8,0,0
"114","Mars MS",8,0,0.8
"114","DataSplitting",8,0,0
"114","MultipleDataSplitting",8,0,0
"114","Knockoff",8,0,0
"114","Benjamini–Hochberg (BH)",8,0,0
"115","Mars DS",9,0,0
"115","Mars MS",9,0,0.8
"115","DataSplitting",9,0,0
"115","MultipleDataSplitting",9,0,0
"115","Knockoff",9,0,0
"115","Benjamini–Hochberg (BH)",9,0,0
"116","Mars DS",10,0,0
"116","Mars MS",10,0,0.8
"116","DataSplitting",10,0,0
"116","MultipleDataSplitting",10,0,0
"116","Knockoff",10,0,0
"116","Benjamini–Hochberg (BH)",10,0,0
"117","Mars DS",11,0,0
"117","Mars MS",11,0,0.8
"117","DataSplitting",11,0,0
"117","MultipleDataSplitting",11,0,0
"117","Knockoff",11,0,0
"117","Benjamini–Hochberg (BH)",11,0,0
"118","Mars DS",12,0,0
"118","Mars MS",12,0,0.8
"118","DataSplitting",12,0,0
"118","MultipleDataSplitting",12,0,0
"118","Knockoff",12,0,0
"118","Benjamini–Hochberg (BH)",12,0,0
"119","Mars DS",13,0.1,0.9
"119","Mars MS",13,0,0.8
"119","DataSplitting",13,0,0
"119","MultipleDataSplitting",13,0,0
"119","Knockoff",13,0,0
"119","Benjamini–Hochberg (BH)",13,0,0
"120","Mars DS",7,0,0
"120","Mars MS",7,0,0.3
"120","DataSplitting",7,0,0
"120","MultipleDataSplitting",7,0,0
"120","Knockoff",7,0.91304347826087,0.2
"120","Benjamini–Hochberg (BH)",7,0,0
"121","Mars DS",8,0,0
"121","Mars MS",8,0,0
"121","DataSplitting",8,0,0
"121","MultipleDataSplitting",8,0,0
"121","Knockoff",8,0.91304347826087,0.2
