"Method","Delta","FDP","Power"
"Mars DS",7,0,0.88
"Mars MS",7,0,0.8
"DataSplitting",7,0,0
"MultipleDataSplitting",7,0,0
"Knockoff",7,0.1,0.36
"Benjamini-Hochberg (BH)",7,0,0
