"mtry","ntree","nodesize","R2_test1","R2_test2","R2_avg","selected"
50,500,2,0.642613403256746,0.680529249152769,0.661571326204757,0
100,500,5,0.64304888754569,0.6794628868532,0.661255887199445,0
100,750,3,0.637164469024893,0.685026205723674,0.661095337374283,0
100,100,3,0.631506542670868,0.690493128664875,0.660999835667872,0
150,100,10,0.647876737766263,0.67287833644271,0.660377537104487,11
100,350,3,0.643267920561391,0.677007417922675,0.660137669242033,0
50,200,25,0.635114431467592,0.6847555379767,0.659934984722146,0
100,500,3,0.638522477759957,0.679206825091276,0.658864651425616,0
50,200,5,0.624364948033448,0.692710366663325,0.658537657348387,0
200,100,3,0.643679588072362,0.67323422804172,0.658456908057041,0
150,100,3,0.645537545763634,0.67036520971791,0.657951377740772,0
100,350,4,0.639642590456673,0.675944690181904,0.657793640319288,0
50,100,25,0.637886121401915,0.676021270283732,0.656953695842824,12
150,100,5,0.638318649277971,0.673994052333588,0.65615635080578,0
50,500,4,0.637966698594226,0.673309863609219,0.655638281101722,0
50,750,16,0.633211523520366,0.677565968218237,0.655388745869302,0
100,100,2,0.630589782561637,0.679906811615114,0.655248297088376,0
100,100,4,0.630082060395992,0.680293597736742,0.655187829066367,0
100,100,10,0.62570033849724,0.6825819132539,0.65414112587557,0
50,750,4,0.636562805655345,0.671152124104027,0.653857464879686,0
50,200,2,0.636956025054735,0.669749764862154,0.653352894958445,0
50,350,2,0.629504267701261,0.676383386082704,0.652943826891983,0
50,350,4,0.633123737191193,0.671641061974396,0.652382399582795,0
50,750,5,0.632459258788114,0.667835652558123,0.650147455673119,0
50,200,16,0.621633116505194,0.677072907804261,0.649353012154728,0
50,1000,10,0.631905820025611,0.665912324719971,0.648909072372791,10
50,1000,4,0.629239909700811,0.668158145951586,0.648699027826198,0
50,750,3,0.627692670936571,0.669303805365975,0.648498238151273,20
50,200,10,0.623131333920479,0.673858670009272,0.648495001964876,0
50,200,4,0.629404710895686,0.667360023174976,0.648382367035331,0
50,1000,5,0.624588012788233,0.672135918928902,0.648361965858567,0
50,1000,25,0.626489448874029,0.670124337128549,0.648306893001289,0
50,1000,3,0.628620913027796,0.667587549363589,0.648104231195693,12
50,500,25,0.629031083880125,0.666700249356983,0.647865666618554,0
50,100,2,0.609534566097885,0.68426255103682,0.646898558567353,10
50,500,5,0.630565119300133,0.6624666474066,0.646515883353367,0
50,200,3,0.616094724726904,0.675640825966591,0.645867775346747,0
50,500,10,0.621644108390946,0.669416515544511,0.645530311967729,0
50,500,3,0.626514359515328,0.663763998363489,0.645139178939409,0
50,100,4,0.632587823442383,0.656508134775647,0.644547979109015,0
50,750,10,0.624374127077703,0.664566944842134,0.644470535959919,0
50,1000,2,0.62751650826046,0.66119523409681,0.644355871178635,0
50,750,2,0.629109512562088,0.658141768416797,0.643625640489443,0
50,100,10,0.621502083474909,0.664623981777636,0.643063032626273,0
50,350,3,0.619003752619438,0.66650096998916,0.642752361304299,0
50,1000,16,0.625703482411676,0.659552702596698,0.642628092504187,0
50,500,16,0.618137973243588,0.665765599706826,0.641951786475207,12
50,750,25,0.621257816352258,0.659391998748405,0.640324907550331,13
50,350,25,0.6197676684439,0.660420062809684,0.640093865626792,0
25,100,5,0.622075712637685,0.656602566073816,0.639339139355751,0
50,100,5,0.607558535616662,0.662309492862071,0.634934014239367,0
50,350,10,0.627054729523715,0.642637799106573,0.634846264315144,0
50,350,5,0.618175282827305,0.651436776867477,0.634806029847391,0
50,350,16,0.618671227018992,0.647771901903437,0.633221564461215,0
25,750,4,0.619744503331672,0.642573452484871,0.631158977908272,16
25,200,5,0.604432669424288,0.65631020310409,0.630371436264189,0
25,500,2,0.610217355898367,0.650026662941076,0.630122009419722,0
25,100,16,0.604892127588457,0.65327930588724,0.629085716737849,0
25,200,2,0.607361372167731,0.647285416036383,0.627323394102057,12
25,1000,5,0.610786037763984,0.642371460443637,0.62657874910381,0
25,350,3,0.614210484909985,0.637902321800596,0.626056403355291,0
25,500,5,0.612955862424698,0.636705245969114,0.624830554196906,0
25,750,16,0.60931794388028,0.639798490234586,0.624558217057433,0
25,750,2,0.616077278291238,0.632813015815718,0.624445147053478,0
25,350,2,0.603386261624895,0.645051952454969,0.624219107039932,0
25,100,2,0.594285017989099,0.650659561462165,0.622472289725632,0
25,100,10,0.606540215997681,0.638065532810537,0.622302874404109,0
25,1000,10,0.607397756010735,0.636351508800946,0.621874632405841,0
25,350,10,0.600596368141579,0.642853243504482,0.62172480582303,0
25,500,10,0.612388762697834,0.630508083146361,0.621448422922098,0
25,500,16,0.605981220368167,0.636607782525448,0.621294501446808,14
25,750,25,0.602672912042007,0.638332521974382,0.620502717008195,18
25,350,25,0.599132376894645,0.641785393794283,0.620458885344464,0
25,1000,2,0.608806232888094,0.631633456419534,0.620219844653814,0
25,1000,4,0.599325343683913,0.641088741150801,0.620207042417357,0
25,1000,3,0.607414686380919,0.632717753257694,0.620066219819307,0
25,750,3,0.606802128309216,0.633006671953328,0.619904400131272,0
25,500,4,0.610764746341328,0.629039102964469,0.619901924652899,0
25,350,5,0.605316063157502,0.634137584275219,0.619726823716361,0
25,750,10,0.600203029840519,0.638403027858596,0.619303028849557,0
25,200,25,0.610143114718356,0.628269392865675,0.619206253792015,0
25,1000,25,0.601617326806276,0.636530076749517,0.619073701777896,0
25,200,10,0.604006992876974,0.634086935869526,0.61904696437325,0
25,750,5,0.603343932936347,0.633950996616218,0.618647464776282,0
25,200,16,0.609012456540615,0.626739012084002,0.617875734312308,0
25,100,25,0.600439026089098,0.633947735164883,0.617193380626991,0
25,350,16,0.598272865390106,0.635393706456925,0.616833285923516,0
25,200,3,0.596769529070145,0.635550175304348,0.616159852187247,0
25,350,4,0.601490804713793,0.629933904168575,0.615712354441184,0
25,1000,16,0.599071976464742,0.630008669117075,0.614540322790909,11
25,500,3,0.595202682745052,0.633387234168236,0.614294958456644,0
25,100,3,0.6042541828287,0.62368840996233,0.613971296395515,0
25,200,4,0.61163453156912,0.603961802103899,0.60779816683651,0
25,500,25,0.589639827156479,0.623290762492339,0.606465294824409,11
25,100,4,0.584200574216331,0.600086717948992,0.592143646082662,0
10,200,10,0.585733931504874,0.593028061220303,0.589380996362589,0
10,100,4,0.563980928823772,0.60856520256823,0.586273065696001,11
10,200,2,0.57945210104081,0.593016069927691,0.58623408548425,0
10,500,10,0.568804067131764,0.600210802647044,0.584507434889404,11
10,500,3,0.576923920116238,0.589356994264339,0.583140457190289,0
10,1000,10,0.567586819589142,0.598203273247459,0.5828950464183,0
10,500,2,0.573207391602536,0.590062739353959,0.581635065478247,17
10,750,3,0.570948476244172,0.592268963007943,0.581608719626058,0
10,500,5,0.567902864750661,0.594877893428108,0.581390379089385,0
10,200,16,0.569597585465062,0.585599801836112,0.577598693650587,10
10,1000,3,0.57385591237472,0.580631398816861,0.57724365559579,0
10,1000,5,0.567601885116109,0.584462348234363,0.576032116675236,13
10,1000,2,0.57023297604445,0.5816481378936,0.575940556969025,0
10,350,16,0.566977797016787,0.584528419289314,0.575753108153051,11
10,750,2,0.56318311846033,0.588231701288676,0.575707409874503,0
10,100,10,0.552298536816029,0.596106331613735,0.574202434214882,11
10,1000,16,0.562443498185892,0.585553577024436,0.573998537605164,0
10,200,3,0.56353116059521,0.583861251789,0.573696206192105,10
10,750,16,0.557880346661032,0.589470251026268,0.57367529884365,0
10,750,4,0.561852825967342,0.583988027267274,0.572920426617308,0
10,750,10,0.561966161655289,0.583792131764037,0.572879146709663,0
10,1000,25,0.560254735600276,0.584803954529344,0.57252934506481,0
10,350,3,0.557789650743226,0.58645418870356,0.572121919723393,12
10,500,4,0.562966620616444,0.581054045158971,0.572010332887707,24
10,350,2,0.567640215836818,0.574611843858357,0.571126029847588,0
10,750,5,0.55929342324616,0.582646875294662,0.570970149270411,0
10,500,16,0.558433601077592,0.582761618717127,0.57059760989736,0
10,1000,4,0.559584954234271,0.581391730975145,0.570488342604708,0
10,200,4,0.571156488929393,0.56863347150589,0.569894980217642,0
10,350,4,0.564313347311401,0.575033008324407,0.569673177817904,0
10,200,5,0.558433993439519,0.580354771643835,0.569394382541677,0
10,350,25,0.561373514781483,0.576361653977846,0.568867584379664,13
10,500,25,0.555982716032117,0.580437529304615,0.568210122668366,23
10,350,10,0.551567386914068,0.583265778468501,0.567416582691284,0
10,750,25,0.552036554195801,0.581429574912773,0.566733064554287,11
10,350,5,0.561251746467532,0.570381311356296,0.565816528911914,0
10,100,3,0.554838917674376,0.57589717685185,0.565368047263113,14
10,200,25,0.547957570214997,0.578015864510006,0.562986717362501,23
10,100,2,0.55343013506795,0.569520859533743,0.561475497300846,0
10,100,16,0.548515597843559,0.560656675158116,0.554586136500838,12
10,100,5,0.561226287165652,0.545777448450334,0.553501867807993,0
10,100,25,0.541412853748914,0.561763021154445,0.551587937451679,0
