"V1","V2","V3","V4"
"LinReg DS","13","0.148148148148148","0.92"
"LinReg MS","13","0","0.92"
"DataSplitting","13","0.25","0.96"
"MultipleDataSplitting","13","0.0416666666666667","0.92"
"Knockoff","13","0.111111111111111","0.96"
"BH","13","0","0.92"
