"seed","Method","Delta","FDP","Power"
4,"MultipleDataSplitting",9,0,0.92
4,"Knockoff",9,0.0416666666666667,0.92
4,"Benjamini–Hochberg (BH)",9,0,0.92
5,"Boost DS",9,0.05,0.76
5,"Boost MS",9,0,0.76
5,"DataSplitting",9,0.0909090909090909,0.8
5,"MultipleDataSplitting",9,0,0.8
5,"Knockoff",9,0,0.8
5,"Benjamini–Hochberg (BH)",9,0,0.8
6,"Boost DS",9,0.12,0.88
6,"Boost MS",9,0,0.84
6,"DataSplitting",9,0,0.88
6,"MultipleDataSplitting",9,0,0.88
6,"Knockoff",9,0.0434782608695652,0.88
6,"Benjamini–Hochberg (BH)",9,0,0.88
7,"Boost DS",9,0,0.76
7,"Boost MS",9,0,0.72
7,"DataSplitting",9,0.0952380952380952,0.76
7,"MultipleDataSplitting",9,0,0.76
7,"Knockoff",9,0.05,0.76
7,"Benjamini–Hochberg (BH)",9,0,0.76
8,"Boost DS",9,0.0476190476190476,0.8
8,"Boost MS",9,0,0.8
8,"DataSplitting",9,0.153846153846154,0.88
8,"MultipleDataSplitting",9,0,0.88
8,"Knockoff",9,0.12,0.88
8,"Benjamini–Hochberg (BH)",9,0,0.88
9,"Boost DS",9,0.0952380952380952,0.76
9,"Boost MS",9,0,0.76
9,"DataSplitting",9,0.0454545454545455,0.84
9,"MultipleDataSplitting",9,0,0.84
9,"Knockoff",9,0,0.84
9,"Benjamini–Hochberg (BH)",9,0,0.8
10,"Boost DS",9,0.0454545454545455,0.84
10,"Boost MS",9,0,0.84
10,"DataSplitting",9,0.04,0.96
10,"MultipleDataSplitting",9,0,0.96
10,"Knockoff",9,0.111111111111111,0.96
10,"Benjamini–Hochberg (BH)",9,0,0.92
11,"Boost DS",9,0.0909090909090909,0.8
11,"Boost MS",9,0,0.8
11,"DataSplitting",9,0,0.84
11,"MultipleDataSplitting",9,0,0.88
11,"Knockoff",9,0.185185185185185,0.88
11,"Benjamini–Hochberg (BH)",9,0,0.8
12,"Boost DS",9,0,0.56
12,"Boost MS",9,0,0.6
12,"DataSplitting",9,0,0.68
12,"MultipleDataSplitting",9,0,0.64
12,"Knockoff",9,0.0952380952380952,0.76
12,"Benjamini–Hochberg (BH)",9,0,0.64
13,"Boost DS",9,0.0434782608695652,0.88
13,"Boost MS",9,0.04,0.96
13,"DataSplitting",9,0.0384615384615385,1
13,"MultipleDataSplitting",9,0,0.92
13,"Knockoff",9,0.0384615384615385,1
13,"Benjamini–Hochberg (BH)",9,0,0.96
14,"Boost DS",9,0.2,0.96
14,"Boost MS",9,0.142857142857143,0.96
14,"DataSplitting",9,0,0.96
14,"MultipleDataSplitting",9,0,0.96
14,"Knockoff",9,0.04,0.96
14,"Benjamini–Hochberg (BH)",9,0,0.96
15,"Boost DS",9,0,0.84
15,"Boost MS",9,0,0.92
15,"DataSplitting",9,0.08,0.92
15,"MultipleDataSplitting",9,0,0.92
15,"Knockoff",9,0,0.96
15,"Benjamini–Hochberg (BH)",9,0,0.92
16,"Boost DS",9,0.153846153846154,0.88
16,"Boost MS",9,0.111111111111111,0.96
16,"DataSplitting",9,0.2,0.96
16,"MultipleDataSplitting",9,0.04,0.96
16,"Knockoff",9,0.04,0.96
16,"Benjamini–Hochberg (BH)",9,0,0.92
17,"Boost DS",9,0.0476190476190476,0.8
17,"Boost MS",9,0,0.88
17,"DataSplitting",9,0,0.92
17,"MultipleDataSplitting",9,0.08,0.92
17,"Knockoff",9,0.0416666666666667,0.92
17,"Benjamini–Hochberg (BH)",9,0,0.88
18,"Boost DS",9,0,0.76
18,"Boost MS",9,0.173913043478261,0.76
18,"DataSplitting",9,0.0434782608695652,0.88
18,"MultipleDataSplitting",9,0,0.88
18,"Knockoff",9,0,0.8
18,"Benjamini–Hochberg (BH)",9,0,0.84
19,"Boost DS",9,0.12,0.88
19,"Boost MS",9,0.0416666666666667,0.92
19,"DataSplitting",9,0.111111111111111,0.96
19,"MultipleDataSplitting",9,0,0.96
19,"Knockoff",9,0.04,0.96
19,"Benjamini–Hochberg (BH)",9,0.0416666666666667,0.92
20,"Boost DS",9,0.0869565217391304,0.84
20,"Boost MS",9,0,0.84
20,"DataSplitting",9,0.0434782608695652,0.88
20,"MultipleDataSplitting",9,0,0.84
20,"Knockoff",9,0.08,0.92
20,"Benjamini–Hochberg (BH)",9,0,0.88
21,"Boost DS",9,0.25,0.96
21,"Boost MS",9,0.294117647058824,0.96
21,"DataSplitting",9,0,0.96
21,"MultipleDataSplitting",9,0.0769230769230769,0.96
21,"Knockoff",9,0.0769230769230769,0.96
21,"Benjamini–Hochberg (BH)",9,0,0.96
22,"Boost DS",9,0.0952380952380952,0.76
22,"Boost MS",9,0,0.72
22,"DataSplitting",9,0.125,0.84
22,"MultipleDataSplitting",9,0.0833333333333333,0.88
22,"Knockoff",9,0,0.88
22,"Benjamini–Hochberg (BH)",9,0,0.84
23,"Boost DS",9,0,0.68
23,"Boost MS",9,0,0.68
23,"DataSplitting",9,0.0952380952380952,0.76
23,"MultipleDataSplitting",9,0.0526315789473684,0.72
23,"Knockoff",9,0.0909090909090909,0.8
23,"Benjamini–Hochberg (BH)",9,0,0.72
24,"Boost DS",9,0.290322580645161,0.88
24,"Boost MS",9,0.12,0.88
24,"DataSplitting",9,0.0833333333333333,0.88
24,"MultipleDataSplitting",9,0.0833333333333333,0.88
24,"Knockoff",9,0.12,0.88
24,"Benjamini–Hochberg (BH)",9,0,0.84
25,"Boost DS",9,0.05,0.76
25,"Boost MS",9,0.0476190476190476,0.8
25,"DataSplitting",9,0.136363636363636,0.76
25,"MultipleDataSplitting",9,0,0.76
25,"Knockoff",9,0.0476190476190476,0.8
25,"Benjamini–Hochberg (BH)",9,0,0.76
26,"Boost DS",9,0.208333333333333,0.76
26,"Boost MS",9,0,0.76
26,"DataSplitting",9,0.125,0.84
26,"MultipleDataSplitting",9,0.0869565217391304,0.84
26,"Knockoff",9,0.0869565217391304,0.84
26,"Benjamini–Hochberg (BH)",9,0,0.8
27,"Boost DS",9,0.0416666666666667,0.92
27,"Boost MS",9,0,0.88
27,"DataSplitting",9,0.111111111111111,0.96
27,"MultipleDataSplitting",9,0.0416666666666667,0.92
27,"Knockoff",9,0.08,0.92
27,"Benjamini–Hochberg (BH)",9,0,0.92
28,"Boost DS",9,0.12,0.88
28,"Boost MS",9,0.185185185185185,0.88
28,"DataSplitting",9,0.115384615384615,0.92
28,"MultipleDataSplitting",9,0.0416666666666667,0.92
28,"Knockoff",9,0,0.92
28,"Benjamini–Hochberg (BH)",9,0,0.88
29,"Boost DS",9,0.0869565217391304,0.84
29,"Boost MS",9,0,0.84
29,"DataSplitting",9,0.0454545454545455,0.84
29,"MultipleDataSplitting",9,0,0.84
29,"Knockoff",9,0,0.84
29,"Benjamini–Hochberg (BH)",9,0,0.84
30,"Boost DS",9,0.16,0.84
30,"Boost MS",9,0,0.8
30,"DataSplitting",9,0.0833333333333333,0.88
30,"MultipleDataSplitting",9,0.115384615384615,0.92
30,"Knockoff",9,0.225806451612903,0.96
30,"Benjamini–Hochberg (BH)",9,0,0.88
31,"Boost DS",9,0,0.84
31,"Boost MS",9,0.0833333333333333,0.88
31,"DataSplitting",9,0,0.92
31,"MultipleDataSplitting",9,0,0.88
31,"Knockoff",9,0,0.92
31,"Benjamini–Hochberg (BH)",9,0,0.88
32,"Boost DS",9,0.0476190476190476,0.8
32,"Boost MS",9,0,0.8
32,"DataSplitting",9,0,0.84
32,"MultipleDataSplitting",9,0.0454545454545455,0.84
32,"Knockoff",9,0.192307692307692,0.84
32,"Benjamini–Hochberg (BH)",9,0,0.84
33,"Boost DS",9,0,0.72
33,"Boost MS",9,0.1,0.72
33,"DataSplitting",9,0.130434782608696,0.8
33,"MultipleDataSplitting",9,0,0.8
33,"Knockoff",9,0.130434782608696,0.8
33,"Benjamini–Hochberg (BH)",9,0,0.76
34,"Boost DS",9,0,0.84
34,"Boost MS",9,0.0416666666666667,0.92
34,"DataSplitting",9,0.0416666666666667,0.92
34,"MultipleDataSplitting",9,0,0.92
34,"Knockoff",9,0.115384615384615,0.92
34,"Benjamini–Hochberg (BH)",9,0,0.92
35,"Boost DS",9,0.172413793103448,0.96
35,"Boost MS",9,0,0.96
35,"DataSplitting",9,0.166666666666667,1
35,"MultipleDataSplitting",9,0.04,0.96
35,"Knockoff",9,0.04,0.96
35,"Benjamini–Hochberg (BH)",9,0,0.96
36,"Boost DS",9,0.192307692307692,0.84
36,"Boost MS",9,0,0.88
36,"DataSplitting",9,0,0.92
36,"MultipleDataSplitting",9,0,0.88
36,"Knockoff",9,0.115384615384615,0.92
36,"Benjamini–Hochberg (BH)",9,0,0.92
37,"Boost DS",9,0.0869565217391304,0.84
37,"Boost MS",9,0,0.84
37,"DataSplitting",9,0.111111111111111,0.96
37,"MultipleDataSplitting",9,0.0434782608695652,0.88
37,"Knockoff",9,0.111111111111111,0.96
37,"Benjamini–Hochberg (BH)",9,0,0.88
38,"Boost DS",9,0.136363636363636,0.76
38,"Boost MS",9,0.0909090909090909,0.8
38,"DataSplitting",9,0.0454545454545455,0.84
38,"MultipleDataSplitting",9,0.0454545454545455,0.84
38,"Knockoff",9,0.12,0.88
38,"Benjamini–Hochberg (BH)",9,0,0.8
39,"Boost DS",9,0.24,0.76
39,"Boost MS",9,0.0454545454545455,0.84
39,"DataSplitting",9,0.0434782608695652,0.88
39,"MultipleDataSplitting",9,0,0.88
39,"Knockoff",9,0.0833333333333333,0.88
39,"Benjamini–Hochberg (BH)",9,0,0.8
40,"Boost DS",9,0.130434782608696,0.8
40,"Boost MS",9,0,0.8
40,"DataSplitting",9,0,0.84
40,"MultipleDataSplitting",9,0,0.84
40,"Knockoff",9,0,0.84
40,"Benjamini–Hochberg (BH)",9,0,0.84
41,"Boost DS",9,0,0.68
41,"Boost MS",9,0,0.84
41,"DataSplitting",9,0.08,0.92
41,"MultipleDataSplitting",9,0,0.88
41,"Knockoff",9,0,0.92
41,"Benjamini–Hochberg (BH)",9,0,0.92
42,"Boost DS",9,0,0.72
42,"Boost MS",9,0,0.72
42,"DataSplitting",9,0.0434782608695652,0.88
42,"MultipleDataSplitting",9,0,0.84
42,"Knockoff",9,0.0434782608695652,0.88
42,"Benjamini–Hochberg (BH)",9,0,0.76
43,"Boost DS",9,0.0833333333333333,0.88
43,"Boost MS",9,0,0.88
43,"DataSplitting",9,0.04,0.96
43,"MultipleDataSplitting",9,0,0.88
43,"Knockoff",9,0.0769230769230769,0.96
43,"Benjamini–Hochberg (BH)",9,0,0.96
44,"Boost DS",9,0.05,0.76
44,"Boost MS",9,0,0.76
44,"DataSplitting",9,0.0869565217391304,0.84
44,"MultipleDataSplitting",9,0,0.84
44,"Knockoff",9,0.0454545454545455,0.84
44,"Benjamini–Hochberg (BH)",9,0,0.84
45,"Boost DS",9,0.05,0.76
45,"Boost MS",9,0,0.84
45,"DataSplitting",9,0,0.88
45,"MultipleDataSplitting",9,0,0.84
45,"Knockoff",9,0.0434782608695652,0.88
45,"Benjamini–Hochberg (BH)",9,0,0.88
46,"Boost DS",9,0.0434782608695652,0.88
46,"Boost MS",9,0,0.88
46,"DataSplitting",9,0.12,0.88
46,"MultipleDataSplitting",9,0,0.84
46,"Knockoff",9,0,0.88
46,"Benjamini–Hochberg (BH)",9,0,0.88
47,"Boost DS",9,0.0909090909090909,0.8
47,"Boost MS",9,0,0.84
47,"DataSplitting",9,0,0.88
47,"MultipleDataSplitting",9,0,0.84
47,"Knockoff",9,0,0.88
47,"Benjamini–Hochberg (BH)",9,0,0.84
48,"Boost DS",9,0.28125,0.92
48,"Boost MS",9,0.0416666666666667,0.92
48,"DataSplitting",9,0.08,0.92
48,"MultipleDataSplitting",9,0,0.88
48,"Knockoff",9,0.115384615384615,0.92
48,"Benjamini–Hochberg (BH)",9,0,0.92
49,"Boost DS",9,0.173913043478261,0.76
49,"Boost MS",9,0.0476190476190476,0.8
49,"DataSplitting",9,0,0.8
49,"MultipleDataSplitting",9,0,0.84
49,"Knockoff",9,0.0434782608695652,0.88
49,"Benjamini–Hochberg (BH)",9,0,0.84
50,"Boost DS",9,0.0454545454545455,0.84
50,"Boost MS",9,0.266666666666667,0.88
50,"DataSplitting",9,0.04,0.96
50,"MultipleDataSplitting",9,0,0.92
50,"Knockoff",9,0.04,0.96
50,"Benjamini–Hochberg (BH)",9,0,0.92
1,"Boost DS",10,0.08,0.92
1,"Boost MS",10,0,0.92
1,"DataSplitting",10,0.148148148148148,0.92
1,"MultipleDataSplitting",10,0,0.92
1,"Knockoff",10,0.178571428571429,0.92
1,"Benjamini–Hochberg (BH)",10,0,0.92
2,"Boost DS",10,0,0.72
2,"Boost MS",10,0,0.76
2,"DataSplitting",10,0,0.88
2,"MultipleDataSplitting",10,0.0434782608695652,0.88
2,"Knockoff",10,0.12,0.88
2,"Benjamini–Hochberg (BH)",10,0,0.88
3,"Boost DS",10,0.166666666666667,0.8
3,"Boost MS",10,0.0416666666666667,0.92
3,"DataSplitting",10,0.115384615384615,0.92
3,"MultipleDataSplitting",10,0,0.92
3,"Knockoff",10,0.0416666666666667,0.92
3,"Benjamini–Hochberg (BH)",10,0,0.88
4,"Boost DS",10,0.115384615384615,0.92
4,"Boost MS",10,0,0.92
4,"DataSplitting",10,0.0416666666666667,0.92
4,"MultipleDataSplitting",10,0,0.92
4,"Knockoff",10,0.0416666666666667,0.92
4,"Benjamini–Hochberg (BH)",10,0,0.92
5,"Boost DS",10,0.05,0.76
5,"Boost MS",10,0,0.76
5,"DataSplitting",10,0.0476190476190476,0.8
5,"MultipleDataSplitting",10,0,0.8
5,"Knockoff",10,0,0.8
5,"Benjamini–Hochberg (BH)",10,0,0.8
6,"Boost DS",10,0.12,0.88
6,"Boost MS",10,0,0.84
6,"DataSplitting",10,0,0.88
6,"MultipleDataSplitting",10,0,0.88
6,"Knockoff",10,0.0434782608695652,0.88
6,"Benjamini–Hochberg (BH)",10,0,0.88
7,"Boost DS",10,0,0.76
7,"Boost MS",10,0,0.72
7,"DataSplitting",10,0.0952380952380952,0.76
7,"MultipleDataSplitting",10,0,0.8
7,"Knockoff",10,0.05,0.76
7,"Benjamini–Hochberg (BH)",10,0,0.76
8,"Boost DS",10,0.0434782608695652,0.88
8,"Boost MS",10,0,0.88
8,"DataSplitting",10,0.233333333333333,0.92
8,"MultipleDataSplitting",10,0,0.88
8,"Knockoff",10,0.12,0.88
8,"Benjamini–Hochberg (BH)",10,0,0.88
9,"Boost DS",10,0.0952380952380952,0.76
9,"Boost MS",10,0,0.76
9,"DataSplitting",10,0.0869565217391304,0.84
9,"MultipleDataSplitting",10,0,0.84
9,"Knockoff",10,0,0.88
9,"Benjamini–Hochberg (BH)",10,0,0.8
10,"Boost DS",10,0.0434782608695652,0.88
10,"Boost MS",10,0,0.88
10,"DataSplitting",10,0.04,0.96
10,"MultipleDataSplitting",10,0,0.96
10,"Knockoff",10,0.111111111111111,0.96
10,"Benjamini–Hochberg (BH)",10,0,0.92
11,"Boost DS",10,0.0476190476190476,0.8
11,"Boost MS",10,0,0.76
11,"DataSplitting",10,0,0.88
11,"MultipleDataSplitting",10,0,0.88
11,"Knockoff",10,0.185185185185185,0.88
11,"Benjamini–Hochberg (BH)",10,0,0.84
12,"Boost DS",10,0,0.6
12,"Boost MS",10,0,0.64
12,"DataSplitting",10,0,0.68
12,"MultipleDataSplitting",10,0,0.68
12,"Knockoff",10,0.0952380952380952,0.76
12,"Benjamini–Hochberg (BH)",10,0,0.72
13,"Boost DS",10,0.0416666666666667,0.92
13,"Boost MS",10,0,0.96
13,"DataSplitting",10,0.0384615384615385,1
13,"MultipleDataSplitting",10,0,0.92
13,"Knockoff",10,0.0384615384615385,1
13,"Benjamini–Hochberg (BH)",10,0,0.96
14,"Boost DS",10,0.25,0.96
14,"Boost MS",10,0.142857142857143,0.96
14,"DataSplitting",10,0,0.96
14,"MultipleDataSplitting",10,0,0.96
14,"Knockoff",10,0.04,0.96
14,"Benjamini–Hochberg (BH)",10,0,0.96
15,"Boost DS",10,0,0.92
15,"Boost MS",10,0,0.92
15,"DataSplitting",10,0.0769230769230769,0.96
15,"MultipleDataSplitting",10,0,0.92
15,"Knockoff",10,0,0.96
15,"Benjamini–Hochberg (BH)",10,0,0.96
16,"Boost DS",10,0.178571428571429,0.92
16,"Boost MS",10,0.0769230769230769,0.96
16,"DataSplitting",10,0.04,0.96
16,"MultipleDataSplitting",10,0,0.96
16,"Knockoff",10,0.04,0.96
16,"Benjamini–Hochberg (BH)",10,0,0.92
17,"Boost DS",10,0.0434782608695652,0.88
17,"Boost MS",10,0,0.88
17,"DataSplitting",10,0,0.92
17,"MultipleDataSplitting",10,0.08,0.92
17,"Knockoff",10,0.0416666666666667,0.92
17,"Benjamini–Hochberg (BH)",10,0,0.88
18,"Boost DS",10,0,0.76
18,"Boost MS",10,0.0454545454545455,0.84
18,"DataSplitting",10,0.0416666666666667,0.92
18,"MultipleDataSplitting",10,0,0.88
18,"Knockoff",10,0,0.88
18,"Benjamini–Hochberg (BH)",10,0,0.88
19,"Boost DS",10,0.0833333333333333,0.88
19,"Boost MS",10,0,0.96
19,"DataSplitting",10,0.111111111111111,0.96
19,"MultipleDataSplitting",10,0,0.96
19,"Knockoff",10,0.04,0.96
19,"Benjamini–Hochberg (BH)",10,0.04,0.96
20,"Boost DS",10,0.0869565217391304,0.84
20,"Boost MS",10,0,0.84
20,"DataSplitting",10,0,0.88
20,"MultipleDataSplitting",10,0,0.84
20,"Knockoff",10,0.08,0.92
20,"Benjamini–Hochberg (BH)",10,0,0.88
21,"Boost DS",10,0.25,0.96
21,"Boost MS",10,0.294117647058824,0.96
21,"DataSplitting",10,0,0.96
21,"MultipleDataSplitting",10,0.04,0.96
21,"Knockoff",10,0.0769230769230769,0.96
21,"Benjamini–Hochberg (BH)",10,0,0.96
22,"Boost DS",10,0.0869565217391304,0.84
22,"Boost MS",10,0,0.76
22,"DataSplitting",10,0,0.88
22,"MultipleDataSplitting",10,0,0.88
22,"Knockoff",10,0,0.88
22,"Benjamini–Hochberg (BH)",10,0,0.88
23,"Boost DS",10,0,0.72
23,"Boost MS",10,0,0.68
23,"DataSplitting",10,0.0909090909090909,0.8
23,"MultipleDataSplitting",10,0.0476190476190476,0.8
23,"Knockoff",10,0.0869565217391304,0.84
23,"Benjamini–Hochberg (BH)",10,0,0.76
24,"Boost DS",10,0.28125,0.92
24,"Boost MS",10,0.0434782608695652,0.88
24,"DataSplitting",10,0.0833333333333333,0.88
24,"MultipleDataSplitting",10,0.12,0.88
24,"Knockoff",10,0.115384615384615,0.92
24,"Benjamini–Hochberg (BH)",10,0.0434782608695652,0.88
25,"Boost DS",10,0.05,0.76
25,"Boost MS",10,0.0909090909090909,0.8
25,"DataSplitting",10,0.125,0.84
25,"MultipleDataSplitting",10,0,0.76
25,"Knockoff",10,0.0476190476190476,0.8
25,"Benjamini–Hochberg (BH)",10,0,0.76
26,"Boost DS",10,0.208333333333333,0.76
26,"Boost MS",10,0,0.8
26,"DataSplitting",10,0.153846153846154,0.88
26,"MultipleDataSplitting",10,0.16,0.84
26,"Knockoff",10,0.0869565217391304,0.84
26,"Benjamini–Hochberg (BH)",10,0,0.84
27,"Boost DS",10,0.0416666666666667,0.92
27,"Boost MS",10,0,0.88
27,"DataSplitting",10,0.111111111111111,0.96
27,"MultipleDataSplitting",10,0.0416666666666667,0.92
27,"Knockoff",10,0.08,0.92
27,"Benjamini–Hochberg (BH)",10,0,0.92
28,"Boost DS",10,0.12,0.88
28,"Boost MS",10,0.185185185185185,0.88
28,"DataSplitting",10,0.115384615384615,0.92
28,"MultipleDataSplitting",10,0,0.92
28,"Knockoff",10,0,0.92
28,"Benjamini–Hochberg (BH)",10,0,0.92
29,"Boost DS",10,0.0869565217391304,0.84
29,"Boost MS",10,0,0.8
29,"DataSplitting",10,0.0869565217391304,0.84
29,"MultipleDataSplitting",10,0,0.84
29,"Knockoff",10,0,0.84
29,"Benjamini–Hochberg (BH)",10,0,0.84
30,"Boost DS",10,0.153846153846154,0.88
30,"Boost MS",10,0,0.8
30,"DataSplitting",10,0.08,0.92
30,"MultipleDataSplitting",10,0.115384615384615,0.92
30,"Knockoff",10,0.225806451612903,0.96
30,"Benjamini–Hochberg (BH)",10,0,0.88
31,"Boost DS",10,0,0.84
31,"Boost MS",10,0.0416666666666667,0.92
31,"DataSplitting",10,0,0.92
31,"MultipleDataSplitting",10,0,0.88
31,"Knockoff",10,0,0.92
31,"Benjamini–Hochberg (BH)",10,0,0.88
32,"Boost DS",10,0.0454545454545455,0.84
32,"Boost MS",10,0,0.8
32,"DataSplitting",10,0,0.84
32,"MultipleDataSplitting",10,0.0454545454545455,0.84
32,"Knockoff",10,0.192307692307692,0.84
32,"Benjamini–Hochberg (BH)",10,0,0.84
33,"Boost DS",10,0,0.72
33,"Boost MS",10,0.1,0.72
33,"DataSplitting",10,0.0909090909090909,0.8
33,"MultipleDataSplitting",10,0,0.8
33,"Knockoff",10,0.130434782608696,0.8
33,"Benjamini–Hochberg (BH)",10,0,0.8
34,"Boost DS",10,0,0.88
34,"Boost MS",10,0.115384615384615,0.92
34,"DataSplitting",10,0.0416666666666667,0.92
34,"MultipleDataSplitting",10,0,0.92
34,"Knockoff",10,0.115384615384615,0.92
34,"Benjamini–Hochberg (BH)",10,0,0.92
35,"Boost DS",10,0.193548387096774,1
35,"Boost MS",10,0,0.96
35,"DataSplitting",10,0.21875,1
35,"MultipleDataSplitting",10,0.0769230769230769,0.96
35,"Knockoff",10,0.04,0.96
35,"Benjamini–Hochberg (BH)",10,0,0.96
36,"Boost DS",10,0.153846153846154,0.88
36,"Boost MS",10,0,0.88
36,"DataSplitting",10,0,0.92
36,"MultipleDataSplitting",10,0,0.88
36,"Knockoff",10,0.111111111111111,0.96
36,"Benjamini–Hochberg (BH)",10,0,0.92
37,"Boost DS",10,0.0869565217391304,0.84
37,"Boost MS",10,0,0.84
37,"DataSplitting",10,0.111111111111111,0.96
37,"MultipleDataSplitting",10,0,0.92
37,"Knockoff",10,0.111111111111111,0.96
37,"Benjamini–Hochberg (BH)",10,0,0.88
38,"Boost DS",10,0.130434782608696,0.8
38,"Boost MS",10,0.0869565217391304,0.84
38,"DataSplitting",10,0.0869565217391304,0.84
38,"MultipleDataSplitting",10,0.0434782608695652,0.88
38,"Knockoff",10,0.12,0.88
38,"Benjamini–Hochberg (BH)",10,0,0.84
39,"Boost DS",10,0.24,0.76
39,"Boost MS",10,0.0454545454545455,0.84
39,"DataSplitting",10,0.0434782608695652,0.88
39,"MultipleDataSplitting",10,0,0.88
39,"Knockoff",10,0.0833333333333333,0.88
39,"Benjamini–Hochberg (BH)",10,0,0.8
40,"Boost DS",10,0.130434782608696,0.8
40,"Boost MS",10,0,0.84
40,"DataSplitting",10,0,0.84
40,"MultipleDataSplitting",10,0,0.84
40,"Knockoff",10,0,0.84
40,"Benjamini–Hochberg (BH)",10,0,0.84
41,"Boost DS",10,0.0833333333333333,0.88
41,"Boost MS",10,0,0.88
41,"DataSplitting",10,0.08,0.92
41,"MultipleDataSplitting",10,0,0.88
41,"Knockoff",10,0,0.92
41,"Benjamini–Hochberg (BH)",10,0,0.92
42,"Boost DS",10,0,0.72
42,"Boost MS",10,0,0.72
42,"DataSplitting",10,0.0434782608695652,0.88
42,"MultipleDataSplitting",10,0,0.84
42,"Knockoff",10,0.0434782608695652,0.88
42,"Benjamini–Hochberg (BH)",10,0,0.84
43,"Boost DS",10,0.0416666666666667,0.92
43,"Boost MS",10,0,0.88
43,"DataSplitting",10,0.04,0.96
43,"MultipleDataSplitting",10,0,0.88
43,"Knockoff",10,0.0769230769230769,0.96
43,"Benjamini–Hochberg (BH)",10,0,0.96
44,"Boost DS",10,0.05,0.76
44,"Boost MS",10,0,0.8
44,"DataSplitting",10,0.0869565217391304,0.84
44,"MultipleDataSplitting",10,0,0.84
44,"Knockoff",10,0.0454545454545455,0.84
44,"Benjamini–Hochberg (BH)",10,0,0.84
45,"Boost DS",10,0.0454545454545455,0.84
45,"Boost MS",10,0,0.88
45,"DataSplitting",10,0,0.88
45,"MultipleDataSplitting",10,0,0.84
45,"Knockoff",10,0.0434782608695652,0.88
45,"Benjamini–Hochberg (BH)",10,0,0.88
46,"Boost DS",10,0.0434782608695652,0.88
46,"Boost MS",10,0,0.88
46,"DataSplitting",10,0.12,0.88
46,"MultipleDataSplitting",10,0,0.84
46,"Knockoff",10,0,0.88
46,"Benjamini–Hochberg (BH)",10,0,0.88
47,"Boost DS",10,0.0909090909090909,0.8
47,"Boost MS",10,0,0.84
47,"DataSplitting",10,0.0434782608695652,0.88
47,"MultipleDataSplitting",10,0,0.84
47,"Knockoff",10,0,0.88
47,"Benjamini–Hochberg (BH)",10,0,0.84
48,"Boost DS",10,0.303030303030303,0.92
48,"Boost MS",10,0.0416666666666667,0.92
48,"DataSplitting",10,0.0416666666666667,0.92
48,"MultipleDataSplitting",10,0,0.88
48,"Knockoff",10,0.115384615384615,0.92
48,"Benjamini–Hochberg (BH)",10,0,0.92
49,"Boost DS",10,0.166666666666667,0.8
49,"Boost MS",10,0.0454545454545455,0.84
49,"DataSplitting",10,0,0.8
49,"MultipleDataSplitting",10,0,0.88
49,"Knockoff",10,0.0434782608695652,0.88
49,"Benjamini–Hochberg (BH)",10,0,0.84
50,"Boost DS",10,0.0454545454545455,0.84
50,"Boost MS",10,0.241379310344828,0.88
50,"DataSplitting",10,0.04,0.96
50,"MultipleDataSplitting",10,0,0.96
50,"Knockoff",10,0.04,0.96
50,"Benjamini–Hochberg (BH)",10,0,0.96
1,"Boost DS",11,0.08,0.92
1,"Boost MS",11,0,0.92
1,"DataSplitting",11,0.148148148148148,0.92
1,"MultipleDataSplitting",11,0,0.92
1,"Knockoff",11,0.178571428571429,0.92
1,"Benjamini–Hochberg (BH)",11,0,0.92
2,"Boost DS",11,0,0.76
2,"Boost MS",11,0,0.76
2,"DataSplitting",11,0,0.88
2,"MultipleDataSplitting",11,0.0434782608695652,0.88
2,"Knockoff",11,0.12,0.88
2,"Benjamini–Hochberg (BH)",11,0,0.88
3,"Boost DS",11,0.16,0.84
3,"Boost MS",11,0.0416666666666667,0.92
3,"DataSplitting",11,0.115384615384615,0.92
3,"MultipleDataSplitting",11,0,0.92
3,"Knockoff",11,0.0416666666666667,0.92
3,"Benjamini–Hochberg (BH)",11,0,0.92
4,"Boost DS",11,0.115384615384615,0.92
4,"Boost MS",11,0,0.92
4,"DataSplitting",11,0.0416666666666667,0.92
4,"MultipleDataSplitting",11,0,0.92
4,"Knockoff",11,0.0416666666666667,0.92
4,"Benjamini–Hochberg (BH)",11,0,0.92
5,"Boost DS",11,0.05,0.76
5,"Boost MS",11,0,0.76
5,"DataSplitting",11,0.0909090909090909,0.8
5,"MultipleDataSplitting",11,0,0.8
5,"Knockoff",11,0,0.8
5,"Benjamini–Hochberg (BH)",11,0,0.8
6,"Boost DS",11,0.12,0.88
6,"Boost MS",11,0,0.88
6,"DataSplitting",11,0,0.88
6,"MultipleDataSplitting",11,0,0.88
6,"Knockoff",11,0.0434782608695652,0.88
6,"Benjamini–Hochberg (BH)",11,0,0.88
7,"Boost DS",11,0,0.8
7,"Boost MS",11,0,0.76
7,"DataSplitting",11,0.0909090909090909,0.8
7,"MultipleDataSplitting",11,0.0476190476190476,0.8
7,"Knockoff",11,0.0454545454545455,0.84
7,"Benjamini–Hochberg (BH)",11,0,0.8
8,"Boost DS",11,0.0434782608695652,0.88
8,"Boost MS",11,0,0.88
8,"DataSplitting",11,0.233333333333333,0.92
8,"MultipleDataSplitting",11,0,0.88
8,"Knockoff",11,0.12,0.88
8,"Benjamini–Hochberg (BH)",11,0,0.88
9,"Boost DS",11,0.0909090909090909,0.8
