"seed","Method","Delta","FDP","Power"
24,"MultipleDataSplitting",7,0.0869565217391304,0.84
24,"Knockoff",7,0.125,0.84
24,"Benjamini–Hochberg (BH)",7,0,0.84
25,"Boost DS",7,0.05,0.76
25,"Boost MS",7,0,0.76
25,"DataSplitting",7,0.136363636363636,0.76
25,"MultipleDataSplitting",7,0,0.72
25,"Knockoff",7,0.05,0.76
25,"Benjamini–Hochberg (BH)",7,0,0.76
26,"Boost DS",7,0.173913043478261,0.76
26,"Boost MS",7,0,0.72
26,"DataSplitting",7,0.136363636363636,0.76
26,"MultipleDataSplitting",7,0.130434782608696,0.8
26,"Knockoff",7,0.0909090909090909,0.8
26,"Benjamini–Hochberg (BH)",7,0,0.76
27,"Boost DS",7,0.0454545454545455,0.84
27,"Boost MS",7,0,0.84
27,"DataSplitting",7,0.08,0.92
27,"MultipleDataSplitting",7,0.0416666666666667,0.92
27,"Knockoff",7,0.08,0.92
27,"Benjamini–Hochberg (BH)",7,0,0.92
28,"Boost DS",7,0.130434782608696,0.8
28,"Boost MS",7,0.173913043478261,0.76
28,"DataSplitting",7,0.12,0.88
28,"MultipleDataSplitting",7,0.0833333333333333,0.88
28,"Knockoff",7,0,0.84
28,"Benjamini–Hochberg (BH)",7,0,0.84
29,"Boost DS",7,0.0869565217391304,0.84
29,"Boost MS",7,0,0.84
29,"DataSplitting",7,0.0869565217391304,0.84
29,"MultipleDataSplitting",7,0,0.84
29,"Knockoff",7,0,0.84
29,"Benjamini–Hochberg (BH)",7,0,0.84
30,"Boost DS",7,0.130434782608696,0.8
30,"Boost MS",7,0,0.76
30,"DataSplitting",7,0.0476190476190476,0.8
30,"MultipleDataSplitting",7,0.12,0.88
30,"Knockoff",7,0.233333333333333,0.92
30,"Benjamini–Hochberg (BH)",7,0,0.84
31,"Boost DS",7,0,0.84
31,"Boost MS",7,0,0.88
31,"DataSplitting",7,0.0833333333333333,0.88
31,"MultipleDataSplitting",7,0,0.84
31,"Knockoff",7,0,0.88
31,"Benjamini–Hochberg (BH)",7,0,0.88
32,"Boost DS",7,0.05,0.76
32,"Boost MS",7,0,0.72
32,"DataSplitting",7,0,0.8
32,"MultipleDataSplitting",7,0.0909090909090909,0.8
32,"Knockoff",7,0.0869565217391304,0.84
32,"Benjamini–Hochberg (BH)",7,0,0.76
33,"Boost DS",7,0,0.68
33,"Boost MS",7,0.1,0.72
33,"DataSplitting",7,0.136363636363636,0.76
33,"MultipleDataSplitting",7,0,0.76
33,"Knockoff",7,0.136363636363636,0.76
33,"Benjamini–Hochberg (BH)",7,0,0.76
34,"Boost DS",7,0,0.72
34,"Boost MS",7,0,0.84
34,"DataSplitting",7,0.08,0.92
34,"MultipleDataSplitting",7,0.0434782608695652,0.88
34,"Knockoff",7,0.115384615384615,0.92
34,"Benjamini–Hochberg (BH)",7,0,0.84
35,"Boost DS",7,0.178571428571429,0.92
35,"Boost MS",7,0,0.96
35,"DataSplitting",7,0.272727272727273,0.96
35,"MultipleDataSplitting",7,0.0769230769230769,0.96
35,"Knockoff",7,0.04,0.96
35,"Benjamini–Hochberg (BH)",7,0,0.96
36,"Boost DS",7,0.192307692307692,0.84
36,"Boost MS",7,0,0.84
36,"DataSplitting",7,0,0.88
36,"MultipleDataSplitting",7,0,0.84
36,"Knockoff",7,0.115384615384615,0.92
36,"Benjamini–Hochberg (BH)",7,0,0.88
37,"Boost DS",7,0.0909090909090909,0.8
37,"Boost MS",7,0,0.84
37,"DataSplitting",7,0.0869565217391304,0.84
37,"MultipleDataSplitting",7,0.0454545454545455,0.84
37,"Knockoff",7,0.153846153846154,0.88
37,"Benjamini–Hochberg (BH)",7,0,0.84
38,"Boost DS",7,0.117647058823529,0.6
38,"Boost MS",7,0,0.8
38,"DataSplitting",7,0.0909090909090909,0.8
38,"MultipleDataSplitting",7,0.0476190476190476,0.8
38,"Knockoff",7,0.125,0.84
38,"Benjamini–Hochberg (BH)",7,0,0.8
39,"Boost DS",7,0.387096774193548,0.76
39,"Boost MS",7,0.208333333333333,0.76
39,"DataSplitting",7,0,0.8
39,"MultipleDataSplitting",7,0,0.8
39,"Knockoff",7,0.0909090909090909,0.8
39,"Benjamini–Hochberg (BH)",7,0,0.76
40,"Boost DS",7,0.0952380952380952,0.76
40,"Boost MS",7,0,0.8
40,"DataSplitting",7,0,0.84
40,"MultipleDataSplitting",7,0,0.8
40,"Knockoff",7,0,0.84
40,"Benjamini–Hochberg (BH)",7,0,0.84
41,"Boost DS",7,0,0.68
41,"Boost MS",7,0,0.8
41,"DataSplitting",7,0.0833333333333333,0.88
41,"MultipleDataSplitting",7,0,0.88
41,"Knockoff",7,0,0.88
41,"Benjamini–Hochberg (BH)",7,0,0.88
42,"Boost DS",7,0,0.68
42,"Boost MS",7,0,0.68
42,"DataSplitting",7,0.0476190476190476,0.8
42,"MultipleDataSplitting",7,0,0.76
42,"Knockoff",7,0.0454545454545455,0.84
42,"Benjamini–Hochberg (BH)",7,0,0.72
43,"Boost DS",7,0.0869565217391304,0.84
43,"Boost MS",7,0,0.84
43,"DataSplitting",7,0.04,0.96
43,"MultipleDataSplitting",7,0,0.88
43,"Knockoff",7,0.0769230769230769,0.96
43,"Benjamini–Hochberg (BH)",7,0,0.88
44,"Boost DS",7,0.0555555555555556,0.68
44,"Boost MS",7,0,0.72
44,"DataSplitting",7,0.125,0.84
44,"MultipleDataSplitting",7,0.0476190476190476,0.8
44,"Knockoff",7,0.0454545454545455,0.84
44,"Benjamini–Hochberg (BH)",7,0,0.76
45,"Boost DS",7,0,0.72
45,"Boost MS",7,0,0.72
45,"DataSplitting",7,0,0.88
45,"MultipleDataSplitting",7,0,0.84
45,"Knockoff",7,0.0434782608695652,0.88
45,"Benjamini–Hochberg (BH)",7,0,0.8
46,"Boost DS",7,0.0454545454545455,0.84
46,"Boost MS",7,0,0.76
46,"DataSplitting",7,0.0833333333333333,0.88
46,"MultipleDataSplitting",7,0,0.84
46,"Knockoff",7,0,0.88
46,"Benjamini–Hochberg (BH)",7,0,0.84
47,"Boost DS",7,0.1,0.72
47,"Boost MS",7,0,0.76
47,"DataSplitting",7,0,0.84
47,"MultipleDataSplitting",7,0,0.76
47,"Knockoff",7,0,0.8
47,"Benjamini–Hochberg (BH)",7,0,0.8
48,"Boost DS",7,0.290322580645161,0.88
