"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","10","0","0.92","1.5","1.64"
"LinReg MS","10","0","0.88","1.5","1.64"
"DataSplitting","10","0","0.88","1.5","1.64"
"MultipleDataSplitting","10","0","0.84","1.5","1.64"
"Knockoff","10","0.0769230769230769","0.96","1.5","1.64"
"BH","10","0","0.92","1.5","1.64"
