"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","8","0","1","1.49","1.64"
"LinReg MS","8","0","0.92","1.49","1.64"
"DataSplitting","8","0","1","1.49","1.64"
"MultipleDataSplitting","8","0","0.92","1.49","1.64"
"Knockoff","8","0.166666666666667","1","1.49","1.64"
"BH","8","0","1","1.49","1.64"
