"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","8","0","0.92","1.51","1.65"
"LinReg MS","8","0","0.96","1.51","1.65"
"DataSplitting","8","0","0.92","1.51","1.65"
"MultipleDataSplitting","8","0","0.84","1.51","1.65"
"Knockoff","8","0.0740740740740741","1","1.51","1.65"
"BH","8","0","0.92","1.51","1.65"
