"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","7","0","0.96","1.5","1.67"
"LinReg MS","7","0","0.88","1.5","1.67"
"DataSplitting","7","0","0.96","1.5","1.67"
"MultipleDataSplitting","7","0","0.88","1.5","1.67"
"Knockoff","7","0.107142857142857","1","1.5","1.67"
"BH","7","0","0.96","1.5","1.67"
