"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","9","0","1","1.51","1.62"
"LinReg MS","9","0","0.92","1.51","1.62"
"DataSplitting","9","0","0.96","1.51","1.62"
"MultipleDataSplitting","9","0","0.88","1.51","1.62"
"Knockoff","9","0","1","1.51","1.62"
"BH","9","0","1","1.51","1.62"
