"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","12","0","0.96","1.49","1.61"
"LinReg MS","12","0","0.88","1.49","1.61"
"DataSplitting","12","0","0.96","1.49","1.61"
"MultipleDataSplitting","12","0","0.88","1.49","1.61"
"Knockoff","12","0","1","1.49","1.61"
"BH","12","0","0.96","1.49","1.61"
