"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","11","0","1","1.5","1.63"
"LinReg MS","11","0","0.88","1.5","1.63"
"DataSplitting","11","0","0.96","1.5","1.63"
"MultipleDataSplitting","11","0","0.88","1.5","1.63"
"Knockoff","11","0.107142857142857","1","1.5","1.63"
"BH","11","0","0.96","1.5","1.63"
