"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","11","0","0.96","1.51","1.66"
"LinReg MS","11","0","0.92","1.51","1.66"
"DataSplitting","11","0","1","1.51","1.66"
"MultipleDataSplitting","11","0","0.92","1.51","1.66"
"Knockoff","11","0.166666666666667","1","1.51","1.66"
"BH","11","0","1","1.51","1.66"
