"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","10","0","0.92","1.5","1.73"
"LinReg MS","10","0","0.84","1.5","1.73"
"DataSplitting","10","0","0.92","1.5","1.73"
"MultipleDataSplitting","10","0","0.84","1.5","1.73"
"Knockoff","10","0.21875","1","1.5","1.73"
"BH","10","0","0.92","1.5","1.73"
