"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","8","0","0.92","1.5","1.66"
"LinReg MS","8","0","0.84","1.5","1.66"
"DataSplitting","8","0","0.92","1.5","1.66"
"MultipleDataSplitting","8","0","0.84","1.5","1.66"
"Knockoff","8","0","0.96","1.5","1.66"
"BH","8","0","0.92","1.5","1.66"
