"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","13","0","1","1.49","1.63"
"LinReg MS","13","0","0.92","1.49","1.63"
"DataSplitting","13","0","1","1.49","1.63"
"MultipleDataSplitting","13","0","0.92","1.49","1.63"
"Knockoff","13","0.166666666666667","1","1.49","1.63"
"BH","13","0","1","1.49","1.63"
