"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","1","0","0","1.24","1.31"
"LinReg MS","1","0","0","1.24","1.31"
"DataSplitting","1","0.2","0.32","1.24","1.31"
"MultipleDataSplitting","1","0.333333333333333","0.16","1.24","1.31"
"Knockoff","1","0","0","1.24","1.31"
"BH","1","0","0.04","1.24","1.31"
