"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","1","0","0","1.24","1.32"
"LinReg MS","1","0","0","1.24","1.32"
"DataSplitting","1","0","0","1.24","1.32"
"MultipleDataSplitting","1","0","0","1.24","1.32"
"Knockoff","1","0","0","1.24","1.32"
"BH","1","0","0.04","1.24","1.32"
