"Method","delta","fdp","power","mean_VIF","max_VIF"
"LinReg DS","1","0","0","1.24","1.3"
"LinReg MS","1","0","0","1.24","1.3"
"DataSplitting","1","0.4375","0.36","1.24","1.3"
"MultipleDataSplitting","1","0.307692307692308","0.36","1.24","1.3"
"Knockoff","1","0.545454545454545","0.4","1.24","1.3"
"BH","1","0","0.08","1.24","1.3"
