"","Method","Delta","FDP","Power"
"153","Knockoff",12,0.0909090909090909,0.8
"154","Knockoff",13,0.0952380952380952,0.76
"155","Knockoff",7,0,0.8
"156","Knockoff",8,0.166666666666667,0.8
"157","Knockoff",9,0.0476190476190476,0.8
"158","Knockoff",10,0,0.8
"159","Knockoff",11,0.0909090909090909,0.8
"160","Knockoff",12,0.0909090909090909,0.8
"161","Knockoff",13,0.130434782608696,0.8
"162","Knockoff",7,0.411764705882353,0.8
"163","Knockoff",8,0.411764705882353,0.8
"164","Knockoff",9,0.387096774193548,0.76
"165","Knockoff",10,0.375,0.8
"166","Knockoff",11,0.375,0.8
"167","Knockoff",12,0.2,0.8
"168","Knockoff",13,0.173913043478261,0.76
"169","Knockoff",7,0.05,0.76
"170","Knockoff",8,0,0.76
"171","Knockoff",9,0.1,0.72
"172","Knockoff",10,0.1,0.72
"173","Knockoff",11,0,0.72
"174","Knockoff",12,0.181818181818182,0.72
"175","Knockoff",13,0.05,0.76
"176","Knockoff",7,0.1,0.72
"177","Knockoff",8,0.4375,0.72
"178","Knockoff",9,0.15,0.68
"179","Knockoff",10,0.307692307692308,0.72
"180","Knockoff",11,0,0.72
"181","Knockoff",12,0,0.68
"182","Knockoff",13,0,0.72
"183","Knockoff",7,0.310344827586207,0.8
"184","Knockoff",8,0.217391304347826,0.72
"185","Knockoff",9,0.173913043478261,0.76
"186","Knockoff",10,0.25,0.72
"187","Knockoff",11,0.307692307692308,0.72
"188","Knockoff",12,0.307692307692308,0.72
"189","Knockoff",13,0.142857142857143,0.72
"190","Knockoff",7,0.0434782608695652,0.88
"191","Knockoff",8,0.12,0.88
"192","Knockoff",9,0.12,0.88
"193","Knockoff",10,0,0.84
"194","Knockoff",11,0.0434782608695652,0.88
"195","Knockoff",12,0.0833333333333333,0.88
"196","Knockoff",13,0.0434782608695652,0.88
"197","Knockoff",7,0,0.84
"198","Knockoff",8,0.0454545454545455,0.84
"199","Knockoff",9,0,0.84
"200","Knockoff",10,0.0869565217391304,0.84
"201","Knockoff",11,0.0454545454545455,0.84
"202","Knockoff",12,0.0869565217391304,0.84
"203","Knockoff",13,0.0869565217391304,0.84
"204","Knockoff",7,0.217391304347826,0.72
"205","Knockoff",8,0.136363636363636,0.76
"206","Knockoff",9,0.1,0.72
"207","Knockoff",10,0.181818181818182,0.72
"208","Knockoff",11,0.136363636363636,0.76
"209","Knockoff",12,0.136363636363636,0.76
"210","Knockoff",13,0.136363636363636,0.76
"211","Knockoff",7,0.192307692307692,0.84
"212","Knockoff",8,0.125,0.84
"213","Knockoff",9,0.0454545454545455,0.84
"214","Knockoff",10,0.16,0.84
"215","Knockoff",11,0.0454545454545455,0.84
"216","Knockoff",12,0.0869565217391304,0.84
"217","Knockoff",13,0.0869565217391304,0.84
"218","Knockoff",7,0.0416666666666667,0.92
"219","Knockoff",8,0.115384615384615,0.92
"220","Knockoff",9,0.115384615384615,0.92
"221","Knockoff",10,0.115384615384615,0.92
"222","Knockoff",11,0.08,0.92
"223","Knockoff",12,0.206896551724138,0.92
"224","Knockoff",13,0.178571428571429,0.92
"225","Knockoff",7,0,0.76
"226","Knockoff",8,0,0.72
"227","Knockoff",9,0.0952380952380952,0.76
"228","Knockoff",10,0,0.76
"229","Knockoff",11,0.05,0.76
"230","Knockoff",12,0,0.76
"231","Knockoff",13,0,0.72
"232","Knockoff",7,0.12,0.88
"233","Knockoff",8,0.0833333333333333,0.88
"234","Knockoff",9,0.12,0.88
"235","Knockoff",10,0.153846153846154,0.88
"236","Knockoff",11,0.0434782608695652,0.88
"237","Knockoff",12,0.0434782608695652,0.88
"238","Knockoff",13,0.0434782608695652,0.88
"239","Knockoff",7,0.136363636363636,0.76
"240","Knockoff",8,0,0.72
"241","Knockoff",9,0,0.76
"242","Knockoff",10,0,0.76
"243","Knockoff",11,0.05,0.76
"244","Knockoff",12,0,0.72
"245","Knockoff",13,0,0.76
"246","Knockoff",7,0.290322580645161,0.88
"247","Knockoff",8,0.3,0.84
"248","Knockoff",9,0.222222222222222,0.84
"249","Knockoff",10,0.3,0.84
"250","Knockoff",11,0.222222222222222,0.84
"251","Knockoff",12,0.222222222222222,0.84
"252","Knockoff",13,0.16,0.84
"253","Knockoff",7,0,0.88
"254","Knockoff",8,0,0.84
"255","Knockoff",9,0.185185185185185,0.88
"256","Knockoff",10,0.0434782608695652,0.88
"257","Knockoff",11,0,0.88
"258","Knockoff",12,0,0.88
"259","Knockoff",13,0.0454545454545455,0.84
"260","Knockoff",7,0,0.72
"261","Knockoff",8,0.181818181818182,0.72
"262","Knockoff",9,0.1,0.72
"263","Knockoff",10,0.1,0.72
"264","Knockoff",11,0.1,0.72
"265","Knockoff",12,0.1,0.72
"266","Knockoff",13,0,0.72
"267","Knockoff",7,0.0526315789473684,0.72
"268","Knockoff",8,0,0.72
"269","Knockoff",9,0,0.64
"270","Knockoff",10,0,0.72
"271","Knockoff",11,0,0.64
"272","Knockoff",12,0,0.68
"273","Knockoff",13,0,0.68
"274","Knockoff",7,0.0476190476190476,0.8
"275","Knockoff",8,0.05,0.76
"276","Knockoff",9,0.136363636363636,0.76
"277","Knockoff",10,0.136363636363636,0.76
"278","Knockoff",11,0.136363636363636,0.76
"279","Knockoff",12,0.136363636363636,0.76
"280","Knockoff",13,0.0952380952380952,0.76
"281","Knockoff",7,0.173913043478261,0.76
"282","Knockoff",8,0,0.68
"283","Knockoff",9,0.05,0.76
"284","Knockoff",10,0.15,0.68
"285","Knockoff",11,0.32,0.68
"286","Knockoff",12,0.470588235294118,0.72
"287","Knockoff",13,0.217391304347826,0.72
"288","Knockoff",7,0.125,0.84
"289","Knockoff",8,0.166666666666667,0.8
"290","Knockoff",9,0,0.8
"291","Knockoff",10,0.16,0.84
"292","Knockoff",11,0.0909090909090909,0.8
"293","Knockoff",12,0.125,0.84
"294","Knockoff",13,0.130434782608696,0.8
"295","Knockoff",7,0.125,0.84
"296","Knockoff",8,0,0.84
"297","Knockoff",9,0.0454545454545455,0.84
"298","Knockoff",10,0.0454545454545455,0.84
"299","Knockoff",11,0.0454545454545455,0.84
"300","Knockoff",12,0.0869565217391304,0.84
"301","Knockoff",13,0.0454545454545455,0.84
"302","Knockoff",7,0.05,0.76
"303","Knockoff",8,0.05,0.76
"304","Knockoff",9,0.05,0.76
"305","Knockoff",10,0,0.76
"306","Knockoff",11,0,0.76
"307","Knockoff",12,0,0.76
"308","Knockoff",13,0.0952380952380952,0.76
"309","Knockoff",7,0.16,0.84
"310","Knockoff",8,0,0.8
"311","Knockoff",9,0,0.8
"312","Knockoff",10,0.0909090909090909,0.8
"313","Knockoff",11,0.0454545454545455,0.84
"314","Knockoff",12,0.0454545454545455,0.84
"315","Knockoff",13,0,0.8
"316","Knockoff",7,0.153846153846154,0.88
"317","Knockoff",8,0.185185185185185,0.88
"318","Knockoff",9,0.275862068965517,0.84
"319","Knockoff",10,0,0.88
"320","Knockoff",11,0.148148148148148,0.92
"321","Knockoff",12,0.192307692307692,0.84
"322","Knockoff",13,0.266666666666667,0.88
